Title,Authors,DOI,DOI link,Venue,Citation count,Year,Intervention Type,"Reasoning for ""Intervention Type""",Life Satisfaction Measurement,"Reasoning for ""Life Satisfaction Measurement""",Outcome Measures,"Reasoning for ""Outcome Measures""",Population Age and Condition,"Reasoning for ""Population Age and Condition""",Primary Focus,"Reasoning for ""Primary Focus""",Study Design - Timeline,"Reasoning for ""Study Design - Timeline""",Study Design - Type,"Reasoning for ""Study Design - Type""",Screening judgement,"Reasoning for ""Screening judgement""",Screening score
Effectiveness of brief alcohol interventions in primary care populations.,"E. Kaner, F. Beyer, C. Muirhead, F. Campbell, E. Pienaar, N. Bertholet, J. Daeppen, J. Saunders, B. Burnand",10.1002/14651858.CD004148.pub4,https://doi.org/10.1002/14651858.CD004148.pub4,Cochrane Database of Systematic Reviews,791,2018,yes,"The study specifically focuses on alcohol reduction through brief interventions, not complete abstinence or medical detoxification, meeting this criterion.",no,"The abstract does not mention any measurement of life satisfaction. The outcomes focused on are alcohol consumption metrics (quantity, frequency, intensity) and adverse effects, which is a critical missing element.",no,"While the study uses validated assessment tools for alcohol consumption, it does not measure life satisfaction. This is another critical missing element.",yes,"The study includes adults with hazardous or harmful drinking, with mean baseline consumption of 244 g/week (30.5 standard UK units), which meets WHO guidelines for excessive consumption. While some studies included adolescents, the majority focused on adults.",yes,"The study focuses on brief interventions to reduce alcohol consumption in hazardous and harmful drinkers, which aligns with the criterion of alcohol reduction as the primary intervention.",yes,"The study is a systematic review of randomized controlled trials (RCTs) with follow-up measurements, including ""after one year"" outcomes, which meets the requirement for a longitudinal study design with at least two measurement points.",yes,"The study is explicitly described as a Cochrane systematic review and meta-analysis of RCTs, which meets the criterion for a systematic review, meta-analysis, randomized controlled trial, cohort study, or case-control study.",Exclude,"A systematic review of randomized controlled trials examining brief alcohol interventions demonstrates strong methodological rigor in studying alcohol reduction among hazardous drinkers. However, the study critically lacks measurement of life satisfaction, which represents a significant gap in meeting comprehensive screening criteria. Despite robust analysis of alcohol consumption metrics, the absence of life satisfaction assessment prevents full alignment with the specified screening requirements.",0.9
"One-year sobriety improves satisfaction with life, executive functions and psychological distress among patients with polysubstance use disorder.","Egon Hagen, Aleksander H. Erga, Katrin P Hagen, Sverre Nesvåg, J. McKay, A. Lundervold, Espen Walderhaug",10.1016/j.jsat.2017.01.016,https://doi.org/10.1016/j.jsat.2017.01.016,Journal of Substance Abuse Treatment,45,2017,no,The study focuses on complete abstinence rather than alcohol reduction. The intervention appears to be total substance cessation rather than reduction.,yes,"The study explicitly measures life satisfaction using the Satisfaction With Life Scale (SWLS), a validated tool.",maybe,"While the study measures both alcohol consumption (via AUDIT) and life satisfaction (via SWLS), the focus is on abstinence rather than reduction.",maybe,"While the study includes adults (implied by use of adult assessment tools), it focuses on polysubstance use disorder rather than specifically excessive alcohol consumption. The baseline consumption criteria are not clearly aligned with WHO guidelines.",no,"The study focuses on polysubstance use disorder and complete abstinence, not specifically alcohol reduction. While alcohol is included (measured via AUDIT), it's part of a broader substance use focus.",yes,"The study is clearly longitudinal with measurements over 12 months, comparing baseline to one-year outcomes.",yes,This appears to be a cohort study following patients over time with a control group.,Exclude,"The study focuses on polysubstance use disorder with a comprehensive approach to abstinence, measuring life satisfaction and executive functions over 12 months. While the research includes validated assessment tools and a longitudinal design, it does not specifically target alcohol reduction or align with WHO guidelines for excessive alcohol consumption. The intervention emphasizes complete substance cessation rather than targeted alcohol reduction, which limits its direct applicability to the screening criteria.",1.3
Decreased alcohol consumption in outpatient drinkers is associated with improved quality of life and fewer alcohol-related consequences.,"K. Kraemer, S. Maisto, J. Conigliaro, M. McNeil, A. Gordon, M. Kelley",10.1046/J.1525-1497.2002.10613.X,https://doi.org/10.1046/J.1525-1497.2002.10613.X,-,36,2002,yes,The study focuses on reduction in alcohol consumption (30% decrease) rather than complete abstinence.,maybe,"The study uses SF-36 which measures quality of life, but it's not explicitly stated whether it includes specific life satisfaction measures. SF-36 primarily measures health-related quality of life rather than life satisfaction specifically.",yes,The study measures both alcohol consumption reduction and quality of life using validated tools (SF-36).,maybe,"While the study mentions ""drinkers"" in an outpatient setting, it doesn't specify age range or baseline consumption levels according to WHO guidelines.",yes,The study focuses on changes in alcohol consumption and its relationship with quality of life outcomes.,yes,"The study has clear measurement points at baseline, 6 months, and 12 months, making it longitudinal with multiple time points.",maybe,"The abstract doesn't explicitly state the study design. While it appears to be a cohort study following subjects over time, this isn't definitively stated.",Include,"A longitudinal study examining alcohol consumption reduction and quality of life outcomes demonstrates clear measurement of intervention effects across multiple time points. While the research meets several key screening criteria, significant uncertainties exist regarding precise study design, specific life satisfaction measurement, and detailed population characteristics. The study provides insights into alcohol reduction's impact on health-related quality of life, but lacks definitive clarity on some critical screening requirements.",3
"Does Reducing Drinking in Patients with Unhealthy Alcohol Use Improve Pain Interference, Use of Other Substances, and Psychiatric Symptoms?","E. Caniglia, E. R. Stevens, Maria R Khan, Kailyn E. Young, K. Ban, B. Marshall, Natalie E. Chichetto, Julie R. Gaither, S. Crystal, E. J. Edelman, D. Fiellin, A. Gordon, K. Bryant, J. Tate, A. Justice, R. Braithwaite",10.1111/acer.14455,https://doi.org/10.1111/acer.14455,Alcoholism: Clinical and Experimental Research,10,2020,yes,The study focuses on alcohol reduction (from AUDIT ≥8 to <8) rather than complete abstinence.,no,"The study measures pain interference, substance use, and psychiatric symptoms (depression and anxiety) but does not mention measuring life satisfaction specifically.",maybe,"While the study uses validated assessment tools (AUDIT questionnaire) for alcohol consumption, it does not measure life satisfaction as required.",maybe,"The study focuses on veterans with unhealthy alcohol use (AUDIT ≥8), which aligns with WHO guidelines. While the population is likely adults (veterans), the exact age range isn't specified.",yes,"The study specifically focuses on alcohol reduction, comparing those who reduced drinking (AUDIT <8) with those who did not.",yes,"The study is explicitly longitudinal, following patients from 2003 to 2015 with multiple measurement points (baseline and follow-up visits).",yes,"This is a cohort study (Veterans Aging Cohort Study), described as a ""prospective, multisite observational study.""",Exclude,"A longitudinal cohort study of veterans examining alcohol reduction shows promise in measuring multiple health outcomes, but critically fails to include life satisfaction as a primary measurement. While the research design meets several key screening criteria, the absence of life satisfaction assessment represents a fundamental limitation for the intended review. The study's focus on pain, substance use, and psychiatric symptoms, though valuable, does not align with the specific screening requirements.",0.9
What if Americans drank less? The potential effect on the prevalence of alcohol abuse and dependence.,"L. Archer, B. Grant, D. Dawson",10.2105/AJPH.85.1.61,https://doi.org/10.2105/AJPH.85.1.61,American Journal of Public Health,28,1995,yes,"The study examines reduction to moderate drinking levels, which aligns with the criterion.",no,The abstract does not mention measuring life satisfaction at all. The outcomes measured are alcohol abuse and dependence.,no,"While alcohol consumption is considered, life satisfaction is not measured. The study uses validated measures for alcohol abuse and dependence, but not for life satisfaction.",maybe,"The study examines the ""adult US general population"" and considers alcohol consumption levels, but doesn't specifically focus on those with baseline excessive consumption. It's a population-level analysis.",maybe,"While the study examines alcohol consumption reduction, it's focused on modeling the impact of reducing consumption to recommended levels rather than studying an intervention.",no,The abstract does not indicate this is a longitudinal study with multiple measurement points. It appears to be a modeling study using cross-sectional survey data.,no,"This appears to be a modeling study using survey data, not fitting into any of the specified study types (systematic review, meta-analysis, RCT, cohort, or case-control).",Exclude,"The study fails to meet key screening criteria, including longitudinal design, specific study type, and life satisfaction measurement. While examining alcohol consumption reduction, the research does not align with the required methodological and outcome specifications for the review. Critical gaps exist in population focus, intervention approach, and comprehensive outcome assessment.",0.5
Quality of life depends on the drinking pattern in alcohol-dependent patients.,"J. Daeppen, M. Faouzi, Nathalie Sanchez, N. Rahhali, S. Bineau, N. Bertholet",10.1093/alcalc/agu027,https://doi.org/10.1093/alcalc/agu027,Alcohol and Alcoholism,45,2014,maybe,"The abstract does not explicitly describe the intervention type. While it tracks different drinking patterns (abstainers, moderate drinkers, heavy drinkers), it is not clear if the study is specifically focused on alcohol reduction interventions.",no,"The study measures health-related quality of life (QOL) using MOS-SF-36, but does not specifically measure life satisfaction. The mental component summary score includes various aspects of mental health but is not equivalent to life satisfaction measurement.",maybe,"The study measures both alcohol consumption (using TimeLine Follow-Back) and quality of life (MOS-SF-36), but it is not specifically measuring life satisfaction as required.",yes,"The study focuses on adults (mean age 45.6 years) with alcohol dependence, which would meet WHO guidelines for excessive alcohol consumption.",maybe,"While alcohol consumption is measured and tracked, the study appears to be more focused on quality of life outcomes rather than alcohol reduction as the primary intervention. The abstract does not clearly describe the intervention being studied, so it is unclear if alcohol reduction is the primary focus.",yes,"The study is clearly longitudinal with multiple measurement points (baseline, quarterly for 2 years), meeting the requirement for a longitudinal study design with at least two measurement points.",yes,"The study is explicitly described as a ""prospective observational study"", which meets the requirement for a systematic review, meta-analysis, randomized controlled trial, cohort study, or case-control study.",Exclude,"A prospective observational study of adults with alcohol dependence tracked quality of life and drinking patterns over 24 months, but failed to meet key screening criteria due to lack of specific life satisfaction measurement. While the study had robust methodological elements and appropriate population characteristics, it did not align with the required focus on alcohol reduction and life satisfaction as primary outcomes.",1.3
Quality of Life as Medicine. II. A Pilot Study of a Five-Day “Quality of Life and Health” Cure for Patients with Alcoholism,"S. Ventegodt,, J. Merrick, N. Andersen",10.1100/tsw.2003.67,https://doi.org/10.1100/tsw.2003.67,TheScientificWorldJournal,60,2003,no,"The intervention is a holistic treatment program, not specifically focused on alcohol reduction, and the alcohol reduction appears to be a secondary outcome.",maybe,"The study measures ""quality of life"" (QOL) using the SEQOL questionnaire, but it's not explicitly clear if this includes specific life satisfaction measures.",maybe,"While the study measures both alcohol dependency and QOL, it's not clear if these are measured using validated assessment tools beyond the SEQOL questionnaire.",maybe,"While the participants have alcohol dependency, the abstract doesn't specify the age range or baseline consumption levels according to WHO guidelines.",no,"The primary intervention is a holistic treatment combining philosophy, psychotherapy, and body therapy, and alcohol reduction is a secondary outcome, not the primary focus.",yes,"The study has multiple measurement points (before, after, and at 1 and 3 months follow-up), indicating that it is a longitudinal study with at least two measurement points.",no,"The study is described as a ""pilot study based on a pre-experimental design, without a control group,"" which does not fit into any of the required study types (systematic review, meta-analysis, randomized controlled trial, cohort study, or case-control study).",Exclude,"A holistic treatment study exploring alcohol dependency through philosophical, psychological, and body therapy interventions fails to meet key screening criteria, particularly regarding study design and intervention focus. The research lacks a control group, does not primarily target alcohol reduction, and uses an experimental approach that diverges from the required methodological standards. While measuring quality of life and alcohol dependency, the study does not align with the specified screening requirements for a rigorous alcohol reduction intervention study.",1.3
Life satisfaction following treatment-related reductions in alcohol use and PTSD symptoms: Results from VetChange.,"Noam G Newberger, Samantha Yeager, Nicholas A. Livingston, J. Enggasser, D. Brief, Scott Litwack, Eric D Helmuth, M. Roy, D. Rosenbloom, T. Keane",10.1037/tra0001234,https://doi.org/10.1037/tra0001234,Psychological Trauma,2,2022,yes,"The study focuses on alcohol reduction (measured by ""average weekly drinks"") rather than complete abstinence, meeting the criteria for the intervention type.",yes,"The study explicitly measures ""satisfaction with life (SWL)"" as a primary outcome, meeting the criteria for measuring life satisfaction.",yes,"The study measures both alcohol consumption (AWD) and life satisfaction (SWL) using what appears to be validated assessment tools, meeting the criteria for outcome measures.",yes,"The study focuses on veterans who ""reported hazardous drinking,"" which implies excessive alcohol consumption. While age isn't explicitly stated, veterans are typically adults, meeting the criteria for the population age and condition.",maybe,"While alcohol reduction is a key component, it's studied alongside PTSD reduction as part of a co-occurring intervention, suggesting equal emphasis on both conditions. This partially meets the criteria for alcohol reduction being the primary intervention.",yes,"The study is clearly longitudinal with measurements at baseline, 1, 3, and 6 months, meeting the requirement for at least two measurement points.",yes,"The study appears to be a cohort study following 222 veterans over time, which meets the criteria for a systematic review, meta-analysis, randomized controlled trial, cohort study, or case-control study.",Include,"A longitudinal cohort study of veterans examining alcohol and PTSD reduction demonstrates strong alignment with most screening criteria, including validated life satisfaction measurements, adult population, and alcohol consumption reduction. The study comprehensively measures both alcohol consumption and life satisfaction across multiple time points, with only minor uncertainty around the shared focus on PTSD and alcohol interventions.",4.5
Can alcohol make you happy? A subjective wellbeing approach.,"B. Geiger, G. MacKerron",10.1016/j.socscimed.2016.03.034,https://doi.org/10.1016/j.socscimed.2016.03.034,Social Science & Medicine (1967),39,2016,no,This is not an intervention study. It observes natural drinking patterns rather than implementing or studying alcohol reduction interventions.,yes,The study explicitly measures life satisfaction in Study 1 and happiness in Study 2.,maybe,"While the study measures both alcohol consumption and life satisfaction/happiness, it's not clear if these are validated assessment tools. The CAGE questionnaire is mentioned for alcohol problems, but the life satisfaction measurement tool isn't specified.",maybe,"While the study includes adults (born in 1970), it's not clear if all participants had baseline excessive alcohol consumption. The study appears to include the general population rather than specifically focusing on excessive drinkers.",no,"The study examines the relationship between alcohol consumption and wellbeing/life satisfaction, but does not focus on alcohol reduction as an intervention. It's an observational study of natural drinking patterns.",yes,"The study is clearly longitudinal with multiple measurement points. Study 1 has measurements at ages 30, 34, and 42, while Study 2 has moment-to-moment measurements.",yes,This appears to be a cohort study (Study 1) and an observational study (Study 2).,Exclude,"The study explores alcohol consumption and wellbeing through longitudinal and observational approaches, measuring life satisfaction and happiness across different populations. While methodologically robust, the research does not meet key screening criteria related to alcohol reduction intervention, specific population characteristics, and validated measurement tools. The analysis provides insights into alcohol-wellbeing relationships but falls short of the predefined inclusion requirements.",1.3
Brief physician advice for problem alcohol drinkers. A randomized controlled trial in community-based primary care practices.,"Michael F. Fleming, Kristen L. Barry, L. Manwell, Kristen Johnson, Richard London",10.1001/JAMA.277.13.1039,https://doi.org/10.1001/JAMA.277.13.1039,Journal of the American Medical Association (JAMA),917,1997,yes,"The intervention focuses on alcohol reduction through brief physician advice, not complete abstinence or medical detoxification, indicating that it meets the requirement for an intervention type focused on alcohol reduction.",no,"The abstract does not mention any measurement of life satisfaction, and the main outcome measures listed are ""alcohol use measures, emergency department visits, and hospital days"", indicating that the study does not meet the requirement for measuring life satisfaction.",maybe,"While the study clearly measures alcohol consumption reduction using validated measures (7-day alcohol use, binge drinking episodes, excessive drinking frequency), it does not measure life satisfaction, indicating that it only partially meets the requirement for measuring both alcohol consumption reduction and life satisfaction.",maybe,"While the study focuses on ""problem drinkers"" and includes both men and women, the abstract doesn't explicitly state the age range. However, given it's conducted in primary care practices, it's likely these are adults, but this isn't certain.",yes,"The study focuses on alcohol reduction through physician advice, with clear measurement of alcohol consumption changes, indicating that it meets the requirement for alcohol reduction as the primary intervention.",yes,"The study is explicitly described as a ""12-month follow-up"" randomized controlled trial with baseline and 12-month measurements, indicating that it meets the requirement for a longitudinal study with at least two measurement points.",yes,"The study is clearly identified as a ""Randomized controlled clinical trial"", which meets the requirement for a systematic review, meta-analysis, randomized controlled trial, cohort study, or case-control study.",Exclude,"A randomized controlled trial examining physician intervention for problem drinkers demonstrates significant alcohol consumption reduction, but lacks measurement of life satisfaction. While the study meets several key screening criteria including longitudinal design and alcohol reduction focus, the absence of life satisfaction assessment represents a critical limitation. The research provides valuable insights into alcohol intervention but does not fully align with all specified screening requirements.",1.3
Reduction of alcohol consumption by brief alcohol intervention in primary care: systematic review and meta-analysis.,"N. Bertholet, Jean-Bernard Daeppen, V. Wietlisbach, Michael Fleming, B. Burnand",10.1001/ARCHINTE.165.9.986,https://doi.org/10.1001/ARCHINTE.165.9.986,Archives of Internal Medicine,600,2005,yes,"The study focuses on brief alcohol interventions aimed at reducing alcohol use, not complete abstinence or detoxification.",no,"The abstract does not mention measuring life satisfaction, and only mentions measuring ""alcohol consumption"" and ""related harm"" as outcomes.",maybe,"The study clearly measures alcohol consumption reduction using validated tools, but it does not measure life satisfaction.",maybe,"While the study focuses on adults in primary care settings, it does not explicitly state that participants had baseline excessive alcohol consumption according to WHO guidelines. However, the context suggests these were individuals with alcohol disorders.",yes,"The study focuses on brief alcohol interventions aimed at reducing alcohol use, which is the primary intervention being studied.",yes,"The study has a longitudinal design with at least two measurement points, as evidenced by the mention of follow-up at 6 and 12 months.",yes,"The study is a systematic review and meta-analysis of randomized trials, which meets the criteria for study design type.",Exclude,"A systematic review and meta-analysis of brief alcohol interventions in primary care demonstrates strong methodological rigor with longitudinal follow-up and clear focus on alcohol reduction. However, the study critically lacks measurement of life satisfaction, which represents a fundamental screening criterion. Despite meeting most other requirements, the absence of life satisfaction measurement significantly compromises the study's alignment with the specified screening criteria.",1.3
The world of drinking: national alcohol control experiences in 18 countries.,"T. Babor, E. Winstanley",10.1111/j.1360-0443.2008.02183.x,https://doi.org/10.1111/j.1360-0443.2008.02183.x,Addiction,14,2008,no,The paper doesn't study specific alcohol reduction interventions. It's a descriptive analysis of alcohol-related issues and policies across countries.,no,"There is no mention of life satisfaction measurements in the abstract. The focus is on alcohol consumption patterns, problems, and policy responses.",no,The paper does not measure both alcohol consumption reduction and life satisfaction using validated tools. It primarily describes epidemiological trends and cultural aspects of alcohol consumption.,no,"While the paper discusses alcohol consumption broadly, it doesn't specifically focus on adults with excessive alcohol consumption as defined by WHO guidelines. It covers general population trends and various drinking patterns.",no,"The paper does not focus on alcohol reduction interventions. Instead, it provides a broad overview of alcohol issues, including epidemiology, treatment, prevention, and policy across different countries.",no,"The paper appears to be a synthesis of case studies from 18 countries, analyzing trends from 2004-2007. While it covers a time period, it's not a longitudinal study with clear measurement points. It's more of a descriptive analysis of existing data.",no,"This is a case-series synthesis paper, which doesn't fit into any of the specified study types (systematic review, meta-analysis, RCT, cohort study, or case-control study). While it analyzes multiple cases, it's not structured as a formal systematic review.",Exclude,"This case-series synthesis paper fails to meet the systematic review's screening criteria, lacking a longitudinal design, specific intervention focus, and validated outcome measurements. The study provides a broad descriptive analysis of alcohol issues across 18 countries, but does not align with the required methodological and measurement standards for the review. Consequently, the paper does not qualify for inclusion based on the predefined screening criteria.",0.1
Epidemiology of Recovery From Alcohol Use Disorder,"J. Tucker, Susan D Chandler, K. Witkiewitz",10.35946/arcr.v40.3.02,https://doi.org/10.35946/arcr.v40.3.02,Alcohol research : current reviews,104,2020,no,The paper discusses both natural recovery and treatment but doesn't specifically focus on alcohol reduction interventions. It's more about general recovery patterns.,no,The abstract does not mention measuring life satisfaction at all. It focuses on alcohol use patterns and recovery outcomes.,no,"While alcohol consumption is measured, there is no mention of life satisfaction measurement. The outcomes discussed are primarily about recovery patterns and service utilization.",yes,"The study does focus on adults with AUD, meeting the age and condition requirements. It specifically mentions ""adult life span"" and AUD criteria.",no,"The paper focuses on alcohol use disorder and recovery patterns, but not specifically on alcohol reduction interventions.",no,"The paper is a review that discusses longitudinal studies, but it is not itself a longitudinal study with at least two measurement points.",maybe,"The paper is described as a ""review"" that ""selectively reviews nationally representative surveys"", but it is not clearly stated whether it is a systematic review or a narrative review.",Exclude,"The abstract describes a review of alcohol use disorder research that fails to meet most screening criteria, particularly around intervention focus, life satisfaction measurement, and specific study design requirements. While the paper addresses adult populations with alcohol use disorders, it lacks the precise methodological and outcome measurement specifications needed to qualify under the established screening criteria.",0.9
The effect of general practitioners' advice to heavy drinking men.,"P. Anderson, E. Scott",10.1111/J.1360-0443.1992.TB01984.X,https://doi.org/10.1111/J.1360-0443.1992.TB01984.X,British Journal of Addiction,231,1992,yes,"The study focuses on alcohol reduction (not abstinence or detoxification), as evidenced by the measurement of consumption reduction, which meets the requirement for an intervention type of alcohol reduction.",no,"The abstract does not mention any measurement of life satisfaction, which does not meet the requirement for specifically measuring life satisfaction.",maybe,"The study clearly measures alcohol consumption reduction using validated measures (grams per week), but it does not measure life satisfaction, which is a required component.",maybe,"The study focuses on heavy drinking men (350-1050 grams/week), which meets the requirement for a population with baseline excessive alcohol consumption. However, the age range is not explicitly stated, though it's likely adults given the GP setting.",yes,"The primary intervention being studied is alcohol reduction through GP advice, which meets the requirement for alcohol reduction as the primary intervention.",yes,"The study is longitudinal with baseline and one-year follow-up measurements, which meets the requirement for at least two measurement points.",yes,"The study is a randomized controlled trial, which meets the requirement for a systematic review, meta-analysis, randomized controlled trial, cohort study, or case-control study.",Exclude,"A randomized controlled trial examining alcohol reduction in heavy drinking men demonstrates strong methodological design and intervention focus. However, critical screening criteria were not met, particularly the absence of life satisfaction measurement and incomplete documentation of participant age range. The study's primary outcome of alcohol consumption reduction, while valuable, does not fully align with the comprehensive screening requirements.",1.3
Beyond Abstinence: Changes in Indices of Quality of Life with Time in Recovery in a Nationally Representative Sample of U.S. Adults,"J. Kelly, M. Greene, B. Bergman",10.1111/acer.13604,https://doi.org/10.1111/acer.13604,Alcoholism: Clinical and Experimental Research,115,2018,no,"The study doesn't examine specific interventions for alcohol reduction. Instead, it looks at natural recovery patterns over time.",maybe,"The study measures several well-being indices including ""quality of life, happiness, self-esteem, recovery capital, and psychological distress."" While these are related to life satisfaction, it's not explicitly clear if life satisfaction itself is measured.",no,"While the study measures well-being outcomes, it doesn't specifically measure alcohol consumption reduction using validated tools. The focus is on post-recovery outcomes rather than the reduction process itself.",maybe,"The study includes adults with past AOD problems, but it's not clear if they specifically had excessive alcohol consumption as defined by WHO guidelines. The population includes those with other substance use problems as well.",no,"The study focuses on recovery from alcohol and other drug problems broadly, not specifically on alcohol reduction interventions. It examines well-being outcomes after recovery rather than during the reduction process.",no,"The study appears to be cross-sectional rather than longitudinal, as it uses a ""probability-based, cross-sectional sample."" While it analyzes temporal patterns, it does so retrospectively rather than through multiple measurement points. This fails to meet the longitudinal requirement.",no,"This is a cross-sectional study, which is not one of the accepted study types listed in the criteria (systematic review, meta-analysis, RCT, cohort, or case-control).",Exclude,"The study fails to meet key screening criteria, including longitudinal design, specific alcohol reduction intervention focus, and validated measurement of alcohol consumption reduction. While examining well-being outcomes in substance recovery, the cross-sectional approach and broad population do not align with the required methodological and intervention-specific parameters. Multiple critical screening requirements were not satisfied, rendering the study unsuitable for the intended review.",0.5
The development of Drink Less: an alcohol reduction smartphone app for excessive drinkers,"C. Garnett, David Crane, R. West, Jamie Brown, S. Michie",10.1093/tbm/iby043,https://doi.org/10.1093/tbm/iby043,Translational Behavioral Medicine,57,2018,maybe,"The abstract mentions ""feedback on drinking alcohol,"" which suggests that the intervention may have focused on alcohol reduction rather than complete abstinence or medical detoxification, but the specific intervention details are unclear.",no,"The abstract does not mention any measurement of life satisfaction, so it cannot be confirmed if this outcome was included in the study.",no,"The abstract does not provide any information about the specific outcome measures used in the study, so it cannot be confirmed if both alcohol consumption reduction and life satisfaction were measured using validated assessment tools.",no,"The abstract does not provide any information about the age group of the study population or the definition of excessive alcohol consumption used, so it cannot be confirmed if the study focused on adults (aged 18 or older) with baseline excessive alcohol consumption as defined by WHO guidelines or similar recognized standards.",maybe,"The abstract mentions alcohol drinking and support, suggesting that alcohol reduction may be the primary intervention being studied, but the specific intervention focus is unclear.",no,"The abstract does not provide any information about the study timeline or the number of measurement points, so it is not possible to determine if the study was longitudinal with at least two measurement points.",no,"The study type is not explicitly stated in the abstract, and there is insufficient detail to determine if it was a systematic review, meta-analysis, randomized controlled trial, cohort study, or case-control study.",Exclude,"The extremely brief abstract provides insufficient detail to confidently assess any of the specified screening criteria, with no clear information about study design, population characteristics, intervention specifics, or outcome measurements. Multiple critical screening requirements remain unaddressed, rendering a comprehensive evaluation impossible based on the limited text provided.",0.5
Widespread and sustained cognitive deficits in alcoholism: a meta‐analysis,"K. Stavro, J. Pelletier, S. Potvin",10.1111/j.1369-1600.2011.00418.x,https://doi.org/10.1111/j.1369-1600.2011.00418.x,Addiction Biology,524,2013,no,"The study focuses on complete abstinence and cognitive recovery after detoxification, not alcohol reduction.",no,The abstract does not mention any measurement of life satisfaction. The focus is entirely on cognitive functions across 12 specific domains.,no,"The study measures cognitive functions using validated tools, but does not measure life satisfaction or alcohol reduction.",maybe,"While the study focuses on alcoholics, the abstract doesn't explicitly specify age ranges. However, given it's a meta-analysis of alcohol dependence studies, it likely includes adults. The baseline condition (alcohol dependence) is clearly specified.",no,"The primary focus is on cognitive recovery during abstinence, not alcohol reduction. The study examines outcomes after alcohol cessation rather than reduction interventions.",maybe,"The paper is a meta-analysis examining cognitive recovery over time, with clear temporal components (short-term, intermediate-term, and long-term abstinence). However, it's not a primary longitudinal study with direct measurements over time.",yes,"The paper is explicitly a meta-analysis, which is one of the accepted study types.",Exclude,"This meta-analysis on cognitive recovery in alcohol dependence fails to meet key screening criteria, particularly around alcohol reduction interventions and life satisfaction measurements. While methodologically rigorous, the study focuses on abstinence and cognitive outcomes rather than the specific research parameters required for inclusion. Consequently, the paper does not align with the systematic review's core screening requirements.",0.5
Epidemiology and alcohol policy in Europe.,"J. Rehm, Witold Zatonksi, B. Taylor, P. Anderson",10.1111/j.1360-0443.2010.03326.x,https://doi.org/10.1111/j.1360-0443.2010.03326.x,Addiction,147,2011,no,"The study does not test any specific intervention. While it discusses the importance of alcohol reduction, it's not studying an intervention.",no,The study does not measure life satisfaction. It focuses on mortality statistics and life expectancy.,no,"The study measures alcohol consumption and mortality/life expectancy, but not life satisfaction. It also doesn't appear to use validated assessment tools for measuring alcohol consumption (using aggregate statistics instead).",maybe,"The study does include adults (20-64 years) and discusses alcohol consumption, but it's not specifically studying individuals with baseline excessive alcohol consumption. It's a population-level analysis.",no,"While the study discusses alcohol consumption and its effects, it is not studying an intervention for alcohol reduction. Instead, it's an epidemiological analysis of alcohol-attributable deaths.",no,"The study is an epidemiological study using population health modeling, but it does not indicate multiple measurement points over time. It appears to be a cross-sectional analysis of existing data rather than a longitudinal study.",no,"This is an epidemiological study using population health modeling, which does not fit into any of the specified study types (systematic review, meta-analysis, RCT, cohort study, or case-control study).",Exclude,"This epidemiological study fails to meet most screening criteria, primarily because it is a population-level analysis of alcohol-attributable deaths rather than an intervention study focused on alcohol reduction and life satisfaction. The research does not employ a longitudinal design, does not test a specific intervention, and does not measure life satisfaction using validated tools, thus falling short of the systematic review's requirements.",0.1
Maritally distressed women with alcohol problems: the impact of a short-term alcohol-focused intervention on drinking behaviour and marital satisfaction.,"Adrian B. Kelly, W. Halford, Ross McD. Young",10.1046/J.1360-0443.2000.951015378.X,https://doi.org/10.1046/J.1360-0443.2000.951015378.X,Addiction,59,2000,yes,"The intervention focuses on alcohol reduction rather than complete abstinence, as evidenced by measuring ""average alcohol consumption"" and using motivational interviewing and relapse prevention strategies.",no,"The study measures marital satisfaction and relational efficacy, but does not specifically measure life satisfaction. Depression is measured, but this is not equivalent to life satisfaction.",maybe,"While alcohol consumption is measured using what appears to be a validated tool, life satisfaction is not measured. The study measures related but different outcomes (marital satisfaction, relational efficacy, depression).",maybe,"While the study focuses on adults (women), it doesn't explicitly state whether their alcohol consumption meets WHO guidelines. However, it mentions ""protracted alcohol problems"" and ""moderate to severe impact of alcohol on social and occupational functioning,"" suggesting excessive consumption.",yes,"The intervention is explicitly alcohol-focused, as stated in both the aim and intervention description.",yes,"The study has multiple measurement points (pre-therapy, post-therapy, and 1, 6, and 12-month follow-up), making it clearly longitudinal.",yes,"This is a randomized controlled trial, as participants were ""assigned randomly to an alcohol-focused treatment or to a waiting-list control group"".",Exclude,"A randomized controlled trial focusing on alcohol reduction for maritally distressed women demonstrates strong methodological design with multiple measurement points and intervention strategies. However, the study fails to meet critical screening criteria, particularly the absence of life satisfaction measurement, which significantly limits its potential inclusion in a systematic review. Despite measuring alcohol consumption and related outcomes, the lack of a specific life satisfaction assessment represents a key disqualifying factor.",1.3
