Title,Authors,DOI,DOI link,Venue,Citation count,Year,Population Age,"Reasoning for ""Population Age""",Alcohol Reduction,"Reasoning for ""Alcohol Reduction""",Outcome Measurement,"Reasoning for ""Outcome Measurement""",Study Design,"Reasoning for ""Study Design""",Follow-up Duration,"Reasoning for ""Follow-up Duration""",Population Type,"Reasoning for ""Population Type""",Intervention Isolation,"Reasoning for ""Intervention Isolation""",Study Timeline,"Reasoning for ""Study Timeline""",Screening judgement,"Reasoning for ""Screening judgement""",Screening score
"Purpose in life, Neural Alcohol Cue Reactivity, and Daily Alcohol Use in Social Drinkers.","Yoona Kang, Danielle Cosme, D. Lydon‐Staley, Jeesung Ahn, Mia Jovanova, Faustine Corbani, Silicia Lomax, Ovidia Stanoi, V. Strecher, Peter J. Mucha, K. Ochsner, D. Bassett, E. Falk",10.1111/add.16012,https://doi.org/10.1111/add.16012,Addiction,7,2022,yes,"The study used college students, who are typically 18 or older. While not explicitly stated, this can be reasonably assumed given the college setting.",no,"The study did not examine voluntary reduction in alcohol consumption. Instead, it looked at the relationship between neural reactivity, purpose in life, and alcohol use.",no,"The study measured purpose in life and alcohol use, but did not specifically measure well-being or life satisfaction using validated instruments. Purpose in life is related but distinct from well-being/life satisfaction.",no,"The study was observational/correlational, not a randomized controlled trial, quasi-experimental study, or prospective cohort study.",yes,"The study used 28 days of EMA, which falls within the 24 hours to 6 months range.",yes,"The study included college students who were social drinkers, not those with diagnosed alcohol use disorder.",no,"This was not an intervention study. It was an observational study examining correlations between neural reactivity, purpose in life, and alcohol use.",yes,"The study was longitudinal, using 28 days of EMA measurements.",Exclude,"The study fails to meet key screening criteria, particularly around intervention design, outcome measurement, and study methodology. While the research involves college students and uses a longitudinal approach, it does not examine alcohol reduction, measure well-being using validated instruments, or employ an experimental study design. Consequently, the study does not align with the specified screening requirements.",0.5
Psychological distance intervention reminders reduce alcohol consumption frequency in daily life,"Mia Jovanova, Dani Cosme, B. Doré, Yoona Kang, Ovidia Stanoi, N. Cooper, C. Helion, Silicia Lomax, A. McGowan, Z. Boyd, D. Bassett, Peter J. Mucha, K. Ochsner, D. Lydon‐Staley, E. Falk",10.1038/s41598-023-38478-y,https://doi.org/10.1038/s41598-023-38478-y,Scientific Reports,5,2023,maybe,"The abstract mentions ""young adults"" but does not specify the exact age range. While this suggests the participants were likely 18 or older, there is some uncertainty without explicit confirmation.",yes,The study examines voluntary reduction in alcohol consumption with measurements over time (28-day intervention period).,no,"The abstract does not mention measuring well-being or life satisfaction. It focuses on drinking frequency and amount as outcomes, which does not meet this criterion.",yes,"The abstract describes ""two multisite, randomized experiments,"" which meets the requirement for a randomized controlled trial study design.",yes,The 28-day intervention period falls within the 24 hours to 6 months requirement for follow-up duration.,yes,"The study explicitly mentions ""young adults without alcohol dependence,"" indicating a general population sample.",yes,"The intervention focuses solely on alcohol consumption reduction through psychological distance strategies (mindfulness and perspective-taking), which meets the requirement for intervention isolation.",yes,"The study is longitudinal with measurements over 28 days, exceeding the 24-hour minimum for study timeline.",Exclude,"A smartphone intervention study on young adults without alcohol dependence examined psychological strategies to reduce drinking frequency, meeting most screening criteria. However, the study failed to measure well-being or life satisfaction, which disqualifies it from meeting all required screening parameters. The research design was robust, using randomized experiments with longitudinal measurements, but lacked the specific outcome measurement needed for inclusion.",0.9
Cheers to tomorrow? Alcohol use predicts poorer mood and well-being the next day in young adults.,"Jenna Gawn, Jack R. H. Cooper, Benjamin D. Fletcher, Tamlin S. Conner",10.1111/aphw.12632,https://doi.org/10.1111/aphw.12632,Applied Psychology: Health and Well-Being,0,2024,maybe,"The study focuses on university students with mean ages of 19.6 and 19.4 years, so while most participants are likely 18 or older, some could be younger students.",no,"The study examines natural drinking patterns and their effects, not voluntary reduction in alcohol consumption.",yes,"The study measures well-being using daily diary reports, though the abstract doesn't explicitly state if these are validated instruments.",no,"This appears to be a cross-sectional diary study, not a randomized controlled trial, quasi-experimental study, or prospective cohort study.",no,"The study measures effects on the next day only (24 hours), which is the minimum threshold but doesn't extend beyond it.",yes,"The study includes general university students, not those with diagnosed alcohol use disorder.",no,"This is an observational study of natural drinking patterns, not an intervention study of alcohol reduction.",maybe,"While the study is longitudinal (13 or 7 days), it only measures effects over 24 hours (next-day effects).",Exclude,"The study of university students' alcohol consumption and well-being fails to meet key screening criteria, particularly around intervention design and longitudinal measurement. While examining relevant population and outcomes, the research lacks a controlled intervention approach and does not demonstrate voluntary alcohol reduction over an extended follow-up period. Critical methodological limitations prevent the study from fully satisfying the predefined screening requirements.",0.9
Alcohol administration reduces attentional bias to alcohol-related but not food-related cues: Evidence for a satiety hypothesis.,"Ramey G. Monem, M. Fillmore",10.1037/adb0000522,https://doi.org/10.1037/adb0000522,Psychology of Addictive Behaviors,19,2019,maybe,"The abstract mentions ""healthy young adults"" but does not specify the exact age range. While young adults are likely 18 or older, there is some uncertainty without explicit confirmation.",no,"The study examines acute alcohol administration effects, not voluntary reduction in consumption. This fails to meet the criterion.",no,"The study measures attentional bias using visual dot probe tasks, not well-being or life satisfaction. This clearly fails to meet the criterion.",yes,"This appears to be an experimental study with controlled doses and placebo, likely meeting the RCT requirement.",no,"The study appears to measure immediate effects of alcohol administration, likely within 24 hours. This fails to meet the 24-hour to 6-month criterion.",yes,"The study uses ""healthy young adults"" who consume alcohol roughly twice per week, not those with alcohol use disorder, meeting this criterion.",yes,"The study examines alcohol administration in isolation, so this criterion is met.",no,"The study appears to be examining immediate effects rather than longitudinal changes over time, failing to meet this criterion.",Exclude,"The study fails to meet multiple screening criteria, particularly around outcome measurement, alcohol reduction methodology, and longitudinal design. Specifically, the research examines attentional bias rather than well-being, focuses on acute alcohol administration instead of voluntary reduction, and lacks a follow-up period beyond immediate effects. These fundamental misalignments with the screening requirements render the study unsuitable for inclusion.",0.1
Decline in alcohol consumption during two years of daily reporting.,"J. Helzer, G. Badger, G. Rose, Joan A. Mongeon, J. Searles",10.15288/JSA.2002.63.551,https://doi.org/10.15288/JSA.2002.63.551,Journal of Studies on Alcohol,81,2002,maybe,"The abstract mentions ""white men"" but does not explicitly state the age range. However, since they were recruited from bars, it can be reasonably inferred that they were adults (18 or older).",yes,The study measured voluntary reduction in alcohol consumption with measurements at both baseline (Year 1) and follow-up (Year 2).,no,"The study measured alcohol consumption and ""mood and stress levels"" but did not specifically measure well-being or life satisfaction using validated instruments.",yes,This appears to be a prospective cohort study with regular follow-up over 2 years.,no,"The follow-up period was 2 years, which exceeds the maximum 6-month requirement.",yes,Participants were recruited from bars but were not described as having alcohol use disorder. They appear to be from the general population.,yes,"The study focused solely on alcohol consumption reporting through IVR, without other lifestyle interventions.",yes,"The study was longitudinal with daily reporting over 2 years, clearly exceeding the 24-hour minimum.",Exclude,"The study of alcohol consumption among white men recruited from bars failed to meet key screening criteria, specifically lacking validated well-being measurements and exceeding the maximum follow-up duration. Despite demonstrating a longitudinal design and measuring alcohol reduction, the absence of comprehensive well-being assessments and the extended two-year timeline disqualify the study from meeting the established screening requirements.",0.9
EFEITO DE INTERVENÇÕES BREVES NA REDUÇÃO DO CONSUMO DE ÁLCOOL EM ADULTOS: REVISÃO SISTEMÁTICA,"Larissa Alves Lima, Fernando José Guedes da Silva Júnior, C. Monteiro, Giovanna Vitória Aragão de Almeida Santos, Ana Paula R. Costa, J. C. Sales",10.5380/ce.v27i0.80768,https://doi.org/10.5380/ce.v27i0.80768,Cogitare Enfermagem,0,2022,yes,"The abstract explicitly mentions that the study included ""adultos"" (adults), indicating that all participants were aged 18 or older.",yes,"The study examines interventions aimed at reducing alcohol consumption, though it's not entirely clear if this is voluntary reduction.",maybe,"The abstract does not explicitly mention that the study measured well-being or life satisfaction using validated instruments. It only mentions a ""teste de identificação do padrão de consumo de álcool"" (test to identify alcohol consumption patterns).",yes,"The abstract mentions ""ensaios clínicos randomizados"" (randomized clinical trials), which meets the criterion for study design.",maybe,"The abstract does not specify the follow-up duration, which is a significant uncertainty.",yes,"The study appears to include general adult drinkers (""adultos bebedores de álcool"") rather than those with diagnosed alcohol use disorder.",yes,The study appears to focus specifically on brief interventions for alcohol reduction without mention of other lifestyle interventions.,maybe,"While the study is longitudinal (as it's a randomized trial), the specific timeline is not mentioned in the abstract.",Exclude,"A systematic review of brief interventions for adult alcohol drinkers demonstrates clear alignment with several screening criteria, including appropriate population age, study design, and intervention focus. However, significant uncertainties exist regarding outcome measurements, follow-up duration, and specific well-being metrics, which prevent definitive confirmation of all screening requirements.",2.5
Valuing the Relationship Between Drug and Alcohol Use and Life Satisfaction: Findings from the Crime Survey for England and Wales,"Anna Maccagnan, T. Taylor, M. White",10.1007/s10902-019-00110-0,https://doi.org/10.1007/s10902-019-00110-0,Journal of Happiness Studies,0,2019,maybe,"The abstract does not explicitly state the age range of participants, so it is unclear if all study participants were aged 18 or older.",no,The study does not examine voluntary reduction in alcohol consumption. It only looks at current consumption patterns (1-2 days per week vs. abstainers vs. regular drinkers).,yes,"The study measures life satisfaction using a 0-10 scale, which is a validated instrument.",no,"The study appears to be cross-sectional, analyzing survey data rather than following participants over time.",no,"As this appears to be a cross-sectional study, there is no follow-up period.",yes,"The study uses general population data from the Crime Survey, not specifically those with substance use disorders.",no,"The study examines multiple substances (cannabis, other drugs, and alcohol) and does not isolate alcohol reduction effects.",no,"The study is cross-sectional, not longitudinal, and does not measure effects over time.",Exclude,"The study fails to meet key screening criteria due to its cross-sectional design, lack of alcohol reduction intervention isolation, and absence of a longitudinal follow-up period. While the research uses a validated life satisfaction measurement and includes a general population sample, it does not align with the required methodological specifications for the screening process.",0.5
Quality of life and alcohol consumption: a review of the literature,"A. Černe, L. Zaletel-Kragelj, P. Selič",10.2478/v10152-012-0017-9,https://doi.org/10.2478/v10152-012-0017-9,-,5,2012,yes,"The abstract explicitly states that the study included participants aged 18 or older, meeting this criterion.",no,The abstract doesn't mention studying voluntary alcohol reduction. It appears to be examining general relationships between alcohol consumption and quality of life.,yes,"The study focused on quality of life as an outcome measure, though it's not explicitly stated whether validated instruments were used.",no,"The abstract mentions that ""most of the studies were cross-sectional or longitudinal non-interventional studies,"" which doesn't meet the required study designs (RCT, quasi-experimental, or prospective cohort).",maybe,The abstract doesn't specify follow-up durations for the included studies.,yes,"The abstract indicates they included studies from both ""general population"" and ""patients dependent on alcohol,"" suggesting general population studies were included.",maybe,The abstract doesn't clearly specify whether alcohol reduction was studied in isolation. It appears to be a review of various studies examining alcohol consumption and quality of life relationships.,no,"While some longitudinal studies were included, the abstract specifically mentions that most were cross-sectional, which doesn't meet the criterion for longitudinal studies with effects measured over time.",Exclude,"The systematic review fails to meet several critical screening criteria, including required study designs and a specific focus on alcohol reduction interventions. While the study includes participants over 18 and examines quality of life, it primarily consists of cross-sectional and non-interventional studies that do not align with the specified methodological requirements. The lack of clear intervention isolation and longitudinal measurement further disqualifies the study from meeting the established screening criteria.",0.5
"Satisfaction With Life, Mental Health Problems and Potential Alcohol-Related Problems Among Norwegian University Students","P. Jensen, E. Haug, Borge Sivertsen, J. Skogen",10.3389/fpsyt.2021.578180,https://doi.org/10.3389/fpsyt.2021.578180,Frontiers in Psychiatry,15,2021,maybe,"The study focuses on university students, who are typically 18 or older, but the exact age range is not specified. There is a possibility that some participants might be under 18, though this is less likely in Norwegian higher education.",no,"The study does not examine alcohol reduction, but only looks at associations between life satisfaction, mental health, and current alcohol use.",yes,"The study uses satisfaction with life as an outcome measure, which is a standard measure, though the specific validation of the instrument is not mentioned.",no,"This is a cross-sectional survey study, not a randomized controlled trial, quasi-experimental study, or prospective cohort study.",no,"This is a cross-sectional study with no follow-up period, and no measurements over time.",yes,"The study examines the general university student population, not restricted to those with alcohol use disorder.",no,"This is an observational study examining associations between variables, and does not involve an intervention or alcohol reduction.",no,"The study has a cross-sectional design, with no longitudinal measurement of effects.",Exclude,"The study fails to meet key screening criteria due to its cross-sectional design and lack of intervention or alcohol reduction focus. While examining relevant population and outcome measures, the research does not align with the required longitudinal, intervention-based methodology. Multiple critical screening requirements were not satisfied, rendering the study ineligible for inclusion.",0.5
The costs of negative affect attributable to alcohol consumption in later life: A within-between random longitudinal econometric model using UK Biobank,"Chenlu Li, S. Moore, Jesse Smith, S. Bauermeister, J. Gallacher",10.1371/journal.pone.0211357,https://doi.org/10.1371/journal.pone.0211357,PLoS ONE,2,2019,maybe,"The study uses UK Biobank data, which typically includes adults, but the abstract doesn't explicitly state the age range. This creates some uncertainty, though UK Biobank typically includes adults.",no,"The study doesn't examine voluntary reduction in alcohol consumption. Instead, it analyzes the relationship between existing alcohol consumption and affect.",no,"The study measures depression and neuroticism as proxies for negative affect, but doesn't specifically measure well-being or life satisfaction using validated instruments. This is a significant deviation from the criteria.",maybe,"The study includes both cross-sectional (n=129,437) and longitudinal (n=11,352) analyses. While the longitudinal component meets the criteria, the study isn't an RCT, quasi-experimental, or prospective cohort study in the traditional sense.",maybe,"The abstract doesn't specify the follow-up duration for the longitudinal component, creating uncertainty about whether it meets the 24 hours to 6 months criterion.",yes,"The study uses UK Biobank data, which represents the general population, meeting this criterion.",no,"The study examines alcohol consumption's relationship with affect, but doesn't study alcohol reduction as an intervention. It's an observational study of existing consumption patterns.",yes,"The study includes a longitudinal component, meeting this criterion, though the specific timeline isn't detailed.",Exclude,"The study primarily examines alcohol consumption's relationship with negative affect using UK Biobank data, but fails to meet key screening criteria including specific well-being measurement, intervention isolation, and alcohol reduction analysis. While the research includes a longitudinal component and general population sample, it does not align with the required methodological and outcome specifications for the screening process.",0.9
Maritally distressed women with alcohol problems: the impact of a short-term alcohol-focused intervention on drinking behaviour and marital satisfaction.,"Adrian B. Kelly, W. Halford, Ross McD. Young",10.1046/J.1360-0443.2000.951015378.X,https://doi.org/10.1046/J.1360-0443.2000.951015378.X,Addiction,59,2000,maybe,"The abstract does not explicitly state the ages of the participants, but refers to ""women"" and ""marital problems,"" suggesting the participants were likely adults. However, this is not explicitly confirmed.",no,"The study measured alcohol consumption at baseline and follow-up, but this was part of a therapeutic intervention rather than voluntary reduction.",no,"The study measures depression and marital satisfaction, but does not specifically measure well-being or life satisfaction using validated instruments.",yes,"The study is a randomized controlled trial with a waiting-list control group, meeting this criterion.",no,"The study had follow-ups at 1, 6, and 12 months, which extends beyond the 6-month limit specified in the criteria.",no,"The participants were recruited from the community but specifically had ""alcohol and marital problems"" and ""protracted alcohol problems,"" suggesting they may have had alcohol use disorder rather than being from the general population.",maybe,"The intervention is alcohol-focused but includes multiple components (motivational interviewing, cognitive-behavioral strategies, relapse prevention). It is not clear if the alcohol reduction effects were analyzed separately.",yes,"The study is longitudinal with measurements over time, meeting this criterion.",Exclude,"The study involves women with alcohol and marital problems, using a therapeutic intervention that does not align with the specified screening criteria for population type, outcome measurement, and intervention characteristics. Multiple key requirements are not met, including the need for a general population sample, validated well-being instruments, and voluntary alcohol reduction. The research design and follow-up period also deviate from the predefined screening parameters.",0.9
Variations in risk and protective factors for life satisfaction and mental wellbeing with deprivation: a cross-sectional study,"M. Bellis, H. Lowey, K. Hughes, L. Deacon, J. Stansfield, Clare Perkins",10.1186/1471-2458-12-492,https://doi.org/10.1186/1471-2458-12-492,BMC Public Health,42,2012,maybe,"The abstract mentions ""adults"" but does not specify the exact age range, so there is some uncertainty about whether all participants were 18 or older.",no,"The study examines alcohol consumption but not voluntary reduction over time. It looks at current drinking status and its relationship with well-being, not changes in consumption.",yes,"The study clearly measures well-being and life satisfaction using what appears to be validated instruments (""self-administered questionnaire measuring LS and MWB"").",no,"The abstract explicitly states this is a ""cross-sectional sample,"" which fails to meet the criterion requiring RCT, quasi-experimental, or prospective cohort design.",no,"As a cross-sectional study, there is no follow-up period.",yes,"The study uses a general population sample from the North West of England, not specifically those with alcohol use disorder.",no,"The study examines multiple factors (demographics, health status, employment, relationships, behaviors including alcohol) but does not isolate alcohol reduction as an intervention.",no,"The study is explicitly cross-sectional, not longitudinal.",Exclude,"The study fails key screening criteria due to its cross-sectional design, which prevents longitudinal measurement of alcohol reduction and well-being changes. While examining life satisfaction and well-being in a general population, the research lacks the required intervention isolation, follow-up duration, and prospective study design needed for inclusion. Multiple methodological limitations disqualify the study from meeting the specified screening requirements.",0.1
Drinking Risk Level Reductions Associated with Improvements in Physical Health and Quality of Life Among Individuals with Alcohol Use Disorder,"K. Witkiewitz, H. Kranzler, Kevin A. Hallgren, S. O'Malley, Daniel E. Falk, R. Litten, D. Hasin, K. Mann, R. Anton",10.1111/acer.13897,https://doi.org/10.1111/acer.13897,Alcoholism: Clinical and Experimental Research,96,2018,maybe,"The abstract does not explicitly state the participant age ranges, but given that this is a study of alcohol dependence treatment, it is very likely that the participants were adults, though this cannot be confirmed with 100% certainty without explicit confirmation.",no,"The study examines drinking reduction, but it's in the context of treatment for alcohol dependence rather than voluntary reduction, failing to meet this criterion.",maybe,"The study measures quality of life using what appears to be validated instruments (WHO drinking risk levels and quality of life measures), though the specific validation status is not explicitly stated.",yes,"The abstract explicitly states this is a ""longitudinal, prospective COMBINE study, a multi site randomized placebo-controlled clinical trial,"" meeting this criterion.",maybe,"The abstract doesn't specify the exact follow-up duration, making it impossible to confirm if it falls within the 24 hours to 6 months range.",no,"The study specifically focuses on ""individuals with alcohol dependence,"" which fails this criterion as it doesn't include the general population.",yes,"The study focuses specifically on alcohol reduction without mention of other lifestyle interventions, meeting this criterion.",yes,"The study is explicitly described as longitudinal with follow-up measurements, meeting this criterion.",Exclude,"The study focuses on individuals with alcohol dependence, which disqualifies it from meeting the population type criterion requiring general population participants. While the research demonstrates a rigorous longitudinal design with validated outcome measurements, the treatment-based alcohol reduction and specific focus on alcohol dependence treatment prevent it from aligning with the systematic review's screening requirements. Critical deviations from the specified criteria, particularly regarding population type and intervention characteristics, necessitate exclusion from the review.",0.5
Bidirectional associations between alcohol consumption and health‐related quality of life amongst young and middle‐aged women,"I. C. Schrieks, I. C. Schrieks, Melissa Y. Wei, E. B. Rimm, E. B. Rimm, O. I. Okereke, O. I. Okereke, Ichiro Kawachi, Henk F. J. Hendriks, K. Mukamal, K. Mukamal",10.1111/joim.12453,https://doi.org/10.1111/joim.12453,Journal of Internal Medicine,17,2016,maybe,"No explicit mention of the age range of the study participants, so it cannot be determined if all participants were aged 18 or older.",no,"There is no mention of alcohol reduction in the abstract, only ""moderate alcohol consumption"". Therefore, it does not appear that this criterion is met.",maybe,"The study mentions ""health-related quality of life"" which could be related to well-being, but there is no mention of specific validated instruments used to measure this outcome. Therefore, there is insufficient information to confirm if this criterion is met.",maybe,"The abstract mentions ""cross-sectional studies"" and ""prospective data"", but it is unclear if the paper itself is a prospective study or just reviewing others. Therefore, there is insufficient information to confirm if the study design meets the required criteria.",maybe,"No specific follow-up duration is mentioned in the abstract, so it cannot be determined if the criterion of a follow-up period between 24 hours and 6 months is met.",maybe,"There is no explicit mention of the population type, so it cannot be determined if the study included participants from the general population or exclusively those with diagnosed alcohol use disorder.",yes,"The study appears to focus on alcohol consumption alone, so the criterion of alcohol reduction being studied in isolation or analyzed separately from other lifestyle interventions is likely met.",no,"The abstract explicitly states that the study is about ""cross-sectional studies"", which directly contradicts the requirement for a longitudinal study design. Therefore, this criterion is clearly not met.",Exclude,"The abstract describes a cross-sectional study about alcohol consumption and quality of life, which immediately disqualifies it from meeting the longitudinal study requirement. Insufficient details are provided about population characteristics, intervention specifics, and outcome measurements, making it impossible to confirm compliance with most screening criteria. The lack of clear information about alcohol reduction and study design further reduces the likelihood of meeting the specified screening requirements.",0.5
Clinical question: Can brief interventions reduce risky alcohol consumption in adolescents and adults who have experienced harm due to excessive drinking?,"J. Burch, P. Magalhães",-,-,-,0,2018,maybe,"The abstract mentions ""adolescents and adults"" as participants, which suggests that some participants were under 18 years old, violating the criterion that all study participants must be aged 18 or older.",yes,"The study examines voluntary reduction in alcohol consumption with clear measurements at baseline and 12-month follow-up, meeting the criterion of examining voluntary (self-chosen) reduction in alcohol consumption with measurements at both baseline and follow-up.",no,"The abstract does not mention measuring well-being or life satisfaction using validated instruments. Instead, it focuses on alcohol consumption metrics such as quantity, binging, and frequency.",yes,"While not explicitly stated, the mention of ""trials"" and comparison groups suggests that the study design is a randomized controlled trial, meeting the criterion of being a randomized controlled trial, quasi-experimental study, or prospective cohort study.",no,"The follow-up period is 12 months, which exceeds the 6-month maximum specified in the criteria, failing to meet the criterion of having a follow-up period between 24 hours and 6 months.",yes,"The study includes people who experienced harm from excessive drinking but were not alcohol dependent, representing the general population and meeting the criterion of including participants from the general population (not exclusively those with diagnosed alcohol use disorder).",yes,"The brief intervention appears to focus solely on alcohol reduction without other lifestyle interventions, meeting the criterion of studying alcohol reduction in isolation or analyzing it separately from other interventions.",yes,"The study is clearly longitudinal with measurements over 12 months, meeting the criterion of being a longitudinal (not cross-sectional) study with effects measured over more than 24 hours.",Exclude,"The study includes participants under 18 and lacks validated well-being measurements, which immediately disqualifies it from meeting the screening criteria. Additionally, the 12-month follow-up period exceeds the specified 6-month maximum, further preventing the study from qualifying for the systematic review. Despite being a rigorous research design, the study does not align with the predefined screening requirements.",0.5
Elevating Subjective Well-Being Through Physical Exercises: An Intervention Study,"Katarzyna Iwon, Julia Skibinska, Dorota Jasielska, Sonia Kalwarczyk",10.3389/fpsyg.2021.702678,https://doi.org/10.3389/fpsyg.2021.702678,Frontiers in Psychology,38,2021,maybe,"The abstract does not explicitly state the ages of the participants, so it is unclear if all study participants were aged 18 or older.",no,"The study does not examine alcohol reduction at all, which is another clear failure of a critical criterion.",maybe,"The study measures well-being, happiness, life satisfaction, and self-esteem, which are relevant outcomes. However, the abstract does not specify if validated instruments were used to measure these outcomes.",yes,"The study appears to be a prospective cohort study with baseline and follow-up measurements, which would meet this criterion.",yes,"The study has a 4-week follow-up period, which falls within the 24 hours to 6 months requirement.",yes,"The study uses general population participants, not those with specific disorders, meeting this criterion.",no,"This study focuses on physical activity, not alcohol reduction, which is a clear failure of this critical criterion.",yes,"The study is longitudinal with measurements at baseline and 4 weeks later, meeting this criterion.",Exclude,"The study fundamentally fails key screening criteria by focusing on physical activity instead of alcohol reduction, with no examination of alcohol consumption or reduction. While the research design and timeline are appropriate, the complete absence of alcohol-related content renders the paper irrelevant to the review's specific requirements. Critical screening criteria related to alcohol intervention are not met, necessitating exclusion.",0.1
The predicted impact of reducing the nicotine content in cigarettes on alcohol use.,"Sarah S. Dermody, E. Donny",10.1093/ntr/ntu037,https://doi.org/10.1093/ntr/ntu037,Nicotine & Tobacco Research,12,2014,maybe,"The abstract does not specify the participant age ranges, and since this is a review paper rather than a primary study, Elicit could not confirm whether all participants were aged 18 or older.",no,"The study examines the effects of nicotine reduction on alcohol use, rather than voluntary (self-chosen) reduction in alcohol consumption with measurements at both baseline and follow-up.",no,"The paper focuses on alcohol use and problematic drinking, but does not mention measuring well-being or life satisfaction using validated instruments.",no,"This is a literature review/critical review, not a primary study, and therefore does not meet the criterion for a randomized controlled trial, quasi-experimental study, or prospective cohort study.",maybe,"No specific follow-up duration is mentioned in the paper, so Elicit could not confirm whether the follow-up period was between 24 hours and 6 months.",yes,"The paper appears to focus on the general population of smokers, and there is no indication of an exclusive focus on participants with diagnosed alcohol use disorder.",no,"The study examines the effect of nicotine reduction on alcohol use, rather than alcohol reduction in isolation or analyzed separately from other lifestyle interventions.",no,"As a review paper, this is not a longitudinal study with effects measured over more than 24 hours.",Exclude,"The study fails to meet multiple critical screening criteria, including being a review paper instead of a primary research study, lacking well-being measurements, and not focusing on voluntary alcohol reduction. Key methodological requirements such as intervention isolation, study design, and outcome measurement are not satisfied, rendering the paper unsuitable for inclusion based on the predefined screening criteria.",0.1
The Onset of Falls Reduces Subjective Well-Being. Findings of a Nationally Representative Longitudinal Study,"A. Hajek, H. König",10.3389/fpsyt.2021.599905,https://doi.org/10.3389/fpsyt.2021.599905,Frontiers in Psychiatry,1,2021,maybe,"The abstract mentions ""older individuals"" and ""middle-aged and older men,"" suggesting participants are adults. However, it doesn't explicitly state all participants were 18+. Given the context, this is likely met but has some uncertainty.",no,The study does not examine alcohol reduction at all.,yes,The study uses validated instruments (PANAS and SWLS) to measure well-being and life satisfaction.,yes,"The study is longitudinal with fixed effects regressions, which qualifies as a prospective cohort study.",maybe,"The study examines changes from wave 5 to wave 6, but the exact timeframe is not specified in the abstract.",yes,"The study uses a ""population-based sample of individuals residing in private households in Germany,"" indicating general population participants.",no,The study does not examine alcohol reduction at all. It focuses on falls and their relationship to well-being.,yes,"The study is explicitly longitudinal, examining changes over time.",Exclude,"The study focuses on falls and well-being among older adults, using validated measurement instruments in a longitudinal design with a general population sample. However, the research does not address alcohol reduction, which fundamentally disqualifies it from meeting key screening criteria. Consequently, the paper would not be suitable for inclusion in a systematic review targeting alcohol-related interventions.",0.1
Brief physician advice reduced drinking in older adults,P. Sudbury,10.1136/ebmh.2.4.110,https://doi.org/10.1136/ebmh.2.4.110,Western Journal of Medicine,1,1999,no,Elicit was unable to assess the population age criterion because the provided abstract did not contain any information about the study participants' ages.,no,Elicit was unable to assess the alcohol reduction criterion because the provided abstract did not contain any information about the study's intervention or whether it examined voluntary reduction in alcohol consumption.,no,Elicit was unable to assess the outcome measurement criterion because the provided abstract did not contain any information about the study's outcome measures or whether they were validated instruments.,no,Elicit was unable to assess the study design criterion because the provided abstract did not contain any information about the study's design.,no,Elicit was unable to assess the follow-up duration criterion because the provided abstract did not contain any information about the study's follow-up period.,no,Elicit was unable to assess the population type criterion because the provided abstract did not contain any information about the study's participant population.,no,Elicit was unable to assess the intervention isolation criterion because the provided abstract did not contain any information about the study's intervention or whether alcohol reduction was studied in isolation.,no,Elicit was unable to assess the study timeline criterion because the provided abstract did not contain any information about the study's design or whether it was longitudinal.,Exclude,"No substantive information is available to assess any of the screening criteria. The fragment provided lacks details about population, intervention, outcomes, or study design. Without a complete abstract, it is impossible to determine the study's eligibility for inclusion.",0.1
An experimental analysis of acquired impulse control among adult humans intolerant to alcohol,"Jianxin Wang, Yulei Rao, Daniel Houser",10.1073/pnas.1610902114,https://doi.org/10.1073/pnas.1610902114,Proceedings of the National Academy of Sciences of the United States of America,67,2017,maybe,"The abstract does not explicitly state the participant ages, but refers to ""adult populations"" multiple times, suggesting the participants are likely 18 or older. However, this is somewhat uncertain without explicit confirmation.",no,"The study examines natural alcohol reduction due to intolerance, but does not appear to measure voluntary reduction with baseline and follow-up measurements. This is a significant deviation from the criteria.",no,"The study measures impulse control and self-control behaviors, but does not specifically measure well-being or life satisfaction using validated instruments. This is a significant deviation from the criteria.",maybe,"The study appears to be a natural experiment with a control group (alcohol-tolerant vs. intolerant), which could qualify as a quasi-experimental design. This criterion is likely met.",no,The abstract does not specify the duration of follow-up measurements. This information is missing.,yes,"The study uses general population participants (Han Chinese males and females), not those with diagnosed alcohol use disorder. This criterion is met.",yes,"The study examines alcohol reduction in isolation, specifically looking at alcohol intolerance and its effects on impulse control. This criterion is met.",maybe,"While the study appears to be longitudinal in nature (examining regular behaviors), the specific timeline is not clearly stated. This creates some uncertainty.",Exclude,"The study explores alcohol intolerance and impulse control among Han Chinese populations, but deviates from screening criteria by not measuring well-being or life satisfaction using validated instruments. While examining alcohol reduction and self-control behaviors, the research lacks clear evidence of voluntary alcohol reduction and does not provide specific details about follow-up duration or timeline. The population and intervention isolation aspects align with criteria, but critical measurement and design elements remain unmet.",1.3
