Title,Authors,DOI,DOI link,Venue,Citation count,Year,Adult Population,"Reasoning for ""Adult Population""",Complete Cessation,"Reasoning for ""Complete Cessation""",Mental Health Outcomes,"Reasoning for ""Mental Health Outcomes""",Outcome Scope,"Reasoning for ""Outcome Scope""",Population Health Status,"Reasoning for ""Population Health Status""",Study Design,"Reasoning for ""Study Design""",Temporal Measurement,"Reasoning for ""Temporal Measurement""",Screening judgement,"Reasoning for ""Screening judgement""",Screening score
Longitudinal and Reciprocal Relationships Between Psychological Well-Being and Smoking.,"Sara N. Lappan, Christopher B. Thorne, Dustin M. Long, P. Hendricks",10.1093/ntr/nty185,https://doi.org/10.1093/ntr/nty185,Nicotine & Tobacco Research,30,2018,yes,"The study focuses on older adults (mean age = 64 years) who were current smokers at baseline (25% smokers in 2006), meeting the requirement for an adult population of current smokers.",maybe,"While the study measures smoking status changes, it's not entirely clear if it specifically measures complete cessation versus reduction. The abstract refers to ""reduced likelihood of smoking"" but doesn't specify complete cessation.",yes,"The study measures multiple validated mental well-being measures, specifically life satisfaction, optimism, positive affect, and purpose in life, meeting the requirement for measuring mental health outcomes using validated measures.",yes,"The study explicitly focuses on psychological well-being measures, including life satisfaction, optimism, positive affect, and purpose in life, meeting the requirement for including mental well-being measures.",maybe,"The abstract doesn't explicitly state whether participants with severe mental illness or substance use disorders were excluded. However, this appears to be a general population study of older adults without mention of specific mental health conditions.",yes,"This is a longitudinal study using panel data from the Health and Retirement Study with measurements at two time points (2006 and 2010), meeting the requirement for a longitudinal study design.",yes,"The study has a clear 4-year timeframe between measurements (2006 to 2010), meeting the requirement for reporting specific timeframes between smoking cessation and outcome measurement.",Exclude,"A longitudinal study of older adults examining psychological well-being and smoking status, with robust measurements of life satisfaction, optimism, and positive affect across a 4-year period. The research meets most screening criteria, demonstrating strong alignment with population, design, and outcome requirements, though some uncertainty exists regarding complete smoking cessation and population health status. Multiple validated mental health measures and a large sample size provide comprehensive insights into the relationship between psychological well-being and smoking behaviors.",4.1
Smoking cessation and absence from work.,"M. Wooden, R. Bush",10.1006/PMED.1995.1084,https://doi.org/10.1006/PMED.1995.1084,Preventive Medicine,23,1995,maybe,"The abstract does not explicitly state the age range of participants, so there is some uncertainty about whether the study included only adult participants (aged 18 or older) who were current smokers at baseline.",yes,"The study appears to measure complete cessation (referring to ""ex-smokers"" and ""ceased smoking""), so this criterion is met.",no,"The study does not measure mental well-being, life satisfaction, or quality of life using validated measures, and instead focuses on work absence as the primary outcome, so this criterion is not met.",no,"The study focuses primarily on work absence, which is a behavioral/occupational outcome rather than a mental well-being measure, so this criterion is not met.",maybe,"The abstract does not mention any exclusion criteria regarding mental illness or substance use disorders, so the information about the population's health status is unclear.",maybe,"The study appears to be a retrospective analysis of survey data, which may not meet the requirement for a longitudinal study design (RCT, prospective cohort study, systematic review, or meta-analysis).",yes,"The study does report specific timeframes, comparing different periods since smoking cessation (1 year, 20+ years), which meets this criterion.",Exclude,"The study fails to meet key screening criteria, particularly the requirement for mental health outcomes, as it focuses exclusively on work absence rather than mental well-being measures. While the research provides insights into smoking cessation's impact on work attendance, it lacks validated mental health assessments and does not clearly demonstrate a longitudinal design with comprehensive population health status information.",0.9
Do ex-smokers report feeling happier following cessation? Evidence from a cross-sectional survey.,"L. Shahab, R. West",10.1093/ntr/ntp031,https://doi.org/10.1093/ntr/ntp031,Nicotine & Tobacco Research,49,2009,maybe,"The abstract does not explicitly state the age range of participants, so there is some uncertainty about whether the study included only adult participants (aged 18 or older) who were current smokers at baseline.",yes,"The study focuses on ex-smokers and their post-cessation experiences, suggesting complete cessation rather than reduction.",maybe,"The study measures happiness and quality of life, which are relevant mental well-being measures. However, it is unclear if these were measured using validated instruments, creating some uncertainty.",yes,"The study focuses on happiness and quality of life measures, which falls within the scope of mental well-being outcomes.",maybe,"The abstract does not mention excluding or including participants with mental illness or substance use disorders, so there is uncertainty about the population health status.",no,"The study is described as a ""cross-sectional household survey,"" which does not meet the criterion for a longitudinal study design (RCT, prospective cohort study, systematic review, or meta-analysis).",yes,"The study does measure time since cessation (""how long ago ex-smokers had quit"") and includes analysis of those who quit more than a year ago, which meets the criterion for reporting specific timeframes between smoking cessation and outcome measurement.",Exclude,"A cross-sectional survey examining ex-smokers' happiness fails to meet key longitudinal study design requirements, creating significant screening limitations. While the study addresses mental well-being outcomes and measures complete smoking cessation, the non-longitudinal methodology and unclear participant characteristics prevent full alignment with the specified screening criteria. Uncertainties around participant age range and population health status further complicate potential inclusion.",1.3
Economics of smoking cessation,"S. Parrott, C. Godfrey",10.1136/BMJ.328.7445.947,https://doi.org/10.1136/BMJ.328.7445.947,British medical journal,154,2004,no,"The abstract does not explicitly specify the age range of participants, and there is no clear indication that the study focused exclusively on adults or that participants were current smokers at baseline.",no,The abstract discusses smoking cessation broadly but doesn't specify whether it measures complete cessation versus reduction or temporary abstinence.,no,"While quality of life is mentioned, it's discussed in terms of economic evaluation rather than as a primary outcome measure. There's no mention of validated measures for mental well-being or life satisfaction.",maybe,"The abstract does mention quality of life and self-rated health status, which partially meets this criterion. However, these appear to be discussed in the context of economic evaluation rather than as primary outcomes.",no,There is no information about the mental health status or substance use disorders of the study population.,no,"This appears to be a review chapter focusing on economic aspects of smoking cessation, but it's not clearly specified if it's a systematic review or meta-analysis. The methodology is not explicitly described.",no,"The abstract does not mention specific timeframes between smoking cessation and outcome measurement. While it discusses benefits of cessation, temporal aspects are not addressed.",Exclude,"The abstract lacks clear specification of adult population, study design, temporal measurements, and mental health outcomes, with a primary focus on economic aspects of smoking cessation rather than mental health research. Critical methodological details are missing, and the text appears to be a book chapter discussing economic costs and benefits rather than a systematic review of mental health outcomes. Consequently, the document does not meet the required screening criteria for inclusion in the systematic review.",0.5
"Smoking Cessation and Quality of Life: Insights From Analysis of Longitudinal Australian Data, an Application for Economic Evaluations.","Foruhar Moayeri, Y. Hsueh, D. Dunt, P. Clarke",10.1016/j.jval.2020.11.022,https://doi.org/10.1016/j.jval.2020.11.022,Value in Health,9,2021,maybe,"The abstract does not explicitly state the age range of participants, but the use of a general population sample from HILDA (Household Income and Labour Dynamics of Australia) suggests the study likely included only adult participants (aged 18 or older) who were current smokers at baseline.",yes,"The study specifically looks at ""transition from 'smoker' to 'ex-smoker' status"" and focuses on respondents who experienced only one cessation event, suggesting complete cessation rather than reduction, meeting the criterion for measuring complete smoking cessation.",yes,"The study uses SF-36, which is a validated measure that includes mental health components, meeting the criterion for measuring mental well-being, life satisfaction, or quality of life using validated measures.",yes,"The study includes mental health measures as part of the SF-36 assessment, meeting the criterion for including mental well-being measures.",maybe,"The abstract does not explicitly state whether participants with severe mental illness or substance use disorders were excluded, so there is uncertainty around whether the study population was free from these conditions as primary conditions.",yes,"The study is clearly longitudinal, using panel data from 13 waves (2001-2013) of a nationally representative survey, which meets the criterion for a longitudinal study design.",maybe,"The study measures changes before and after cessation events using a piecewise regression model, and the longitudinal nature and annual measurements suggest temporal relationships are tracked, likely meeting the criterion for reporting specific timeframes between smoking cessation and outcome measurement.",Exclude,"A longitudinal study using panel data from a national survey examined smoking cessation's impact on health-related quality of life, measuring changes across multiple domains with validated SF-36 assessments. The research tracked complete smoking cessation in a general population sample, capturing both physical and mental health outcomes, though mental health effects were found to be nonsignificant. While most screening criteria were met, some uncertainty remained regarding participant age range and potential exclusion of participants with severe mental health conditions.",4.1
Clinical significance of tobacco withdrawal.,J. Hughes,10.1080/14622200500494856,https://doi.org/10.1080/14622200500494856,Nicotine & Tobacco Research,68,2006,maybe,"The abstract mentions ""adult norms"" and ""untreated smokers,"" suggesting the study likely included only adult participants (aged 18 or older) who were current smokers at baseline. However, there is some uncertainty since the abstract does not explicitly state that all participants were 18 or older.",yes,"The abstract discusses ""stopping smoking"" and ""abstinence,"" suggesting complete cessation rather than reduction, meeting this criterion.",yes,"The study uses POMS (Profile of Mood States), which is a validated measure of mental well-being, meeting this criterion.",yes,"The study focuses on mood states using POMS, which is a measure of mental well-being, meeting this criterion.",maybe,"The study compares smokers to psychiatric outpatients, suggesting the smokers were not primarily psychiatric patients. However, this is not explicitly stated, creating some uncertainty.",maybe,"The study is described as a review of experimental studies, which meets the criterion of being a systematic review. However, the methodology is not clearly described as systematic, creating some uncertainty.",yes,"The abstract mentions ""during abstinence (M = 5 days),"" which provides a specific timeframe between smoking cessation and outcome measurement, meeting this criterion.",Exclude,"A review of experimental studies examining mood states during smoking cessation reveals potential clinical significance of tobacco withdrawal, with measurements taken during a 5-day abstinence period. The study uses validated mental well-being measures and compares smokers to psychiatric outpatient norms, suggesting a comprehensive approach to understanding psychological impacts of smoking cessation. While meeting most screening criteria, some uncertainties exist regarding population characteristics and review methodology.",3.8
Smoking Cessation and Changes in Anxiety and Depression in Adults With and Without Psychiatric Disorders,"Angela Difeng Wu, Min Gao, P. Aveyard, Gemma Taylor",10.1001/jamanetworkopen.2023.16111,https://doi.org/10.1001/jamanetworkopen.2023.16111,JAMA Network Open,27,2023,maybe,"The abstract mentions ""adults"" but does not explicitly state they were current smokers at baseline, creating some uncertainty. However, the context suggests they were smokers since they underwent cessation.",maybe,"The abstract does not specify whether it measures complete cessation versus reduction or temporary abstinence, creating uncertainty.",yes,"The study measures anxiety and depression, which are validated mental health measures, meeting this criterion.",yes,"The study clearly includes mental well-being measures, specifically anxiety and depression, meeting this criterion.",no,"The study actually includes people ""with and without psychiatric disorders,"" which explicitly violates this criterion as it includes people with psychiatric disorders as primary conditions.",yes,"The abstract explicitly states this is a ""cohort study,"" which meets the longitudinal design requirement.",no,"The abstract does not specify any timeframes between smoking cessation and outcome measurement, which is a significant limitation.",Exclude,"A cohort study examining smoking cessation's impact on mental health across populations with and without psychiatric disorders reveals significant improvements in anxiety and depression. However, the inclusion of participants with psychiatric disorders and lack of specific temporal measurements create critical screening challenges. The study's comprehensive approach to mental health outcomes is offset by potential methodological limitations.",0.9
The health benefits of smoking cessation.,R. Mulcahy,10.1001/jama.1990.03450150028009,https://doi.org/10.1001/jama.1990.03450150028009,Irish medical journal,355,1990,no,"Elicit could not determine if the study included only adult participants aged 18 or older who were current smokers at baseline, as the provided text did not contain any information about the study participants.",no,"Elicit could not determine if the study measured complete smoking cessation, as the provided text did not contain any information about smoking cessation.",no,"Elicit could not determine if the study measured at least one of the specified mental health outcomes using validated measures, as the provided text did not contain any information about the measured outcomes.",no,"Elicit could not determine if the study included mental well-being measures, as the provided text did not contain any information about the outcomes measured.",no,"Elicit could not determine if the study population was free from severe mental illness or substance use disorders as primary conditions, as the provided text did not contain any information about the study population.",no,"Elicit could not determine the study design, as the provided text did not contain any information about the study design.",no,"Elicit could not determine if the study reported specific timeframes between smoking cessation and outcome measurement, as the provided text did not contain any information about measurements or timeframes.",Exclude,"No research content is present to assess against the screening criteria, as this text represents website navigation and cookie policy information rather than a scientific abstract. Without any substantive research details, it is impossible to determine compliance with any of the specified inclusion requirements. The document fails to meet the fundamental need of being a research paper abstract.",0.1
Does smoking cessation improve mental health?,"Y. Mino, J. Shigemi, T. Otsu, T. Tsuda, A. Babazono",10.1046/j.1440-1819.2000.00654.x,https://doi.org/10.1046/j.1440-1819.2000.00654.x,Psychiatry and Clinical Neurosciences,34,2000,maybe,"The study includes 18 males who stopped smoking and 173 who continued, and while the age is not explicitly stated, the context and study design suggest they are likely adults.",yes,"The study specifically mentions ""spontaneously stopped smoking"" and compares with continuing smokers.",maybe,"The study uses the GHQ-30, which is a validated measure of mental health, but it does not specifically mention life satisfaction or quality of life.",yes,"The study focuses on mental health using the GHQ-30, and there is no mention of physical health outcomes.",maybe,"There is no mention of mental illness or substance use disorders, and it cannot be determined if participants were screened for these conditions.",yes,The study is clearly stated as a cohort study with a 1-year follow-up and includes a control group (smoking group).,yes,"The study reports clear timeframes for measurements: baseline, 6 months, and 1 year.",Include,"A longitudinal cohort study examining smoking cessation's impact on mental health, utilizing a validated measurement tool across multiple timepoints. The research design demonstrates clear temporal measurements and focuses on complete smoking cessation, with participants likely being adults, though some population characteristics remain uncertain. The study provides insights into mental health outcomes through a comparative analysis of smoking cessation and continued smoking groups.",4.1
Severity of negative mood and anxiety symptoms occurring during acute abstinence from tobacco: A systematic review and meta-analysis,"Aldo Alberto Conti, S. Tolomeo, J. Steele, A. Baldacchino",10.1016/j.neubiorev.2020.04.018,https://doi.org/10.1016/j.neubiorev.2020.04.018,Neuroscience and Biobehavioral Reviews,20,2020,maybe,"The abstract does not explicitly state the age range of participants, so there is some uncertainty about whether the study included only adult participants (aged 18 or older) who were current smokers at baseline.",maybe,"The study examines acute abstinence, but it is unclear if this represents complete cessation or just temporary abstinence. The focus on ""acute abstinence"" suggests this might be short-term rather than complete cessation.",maybe,"The study measures mental well-being through mood and anxiety symptoms, but it is unclear if these were measured using validated measures. The focus is on negative affect rather than life satisfaction or quality of life.",yes,"The study focuses on mental well-being measures (mood and anxiety symptoms), meeting the criterion for including mental well-being measures (not exclusively physical health outcomes).",maybe,"The abstract does not specify whether participants had pre-existing mental health conditions or substance use disorders, so there is uncertainty about whether the study population was free from severe mental illness or substance use disorders as primary conditions.",yes,"The paper is a meta-analysis of 28 studies, which meets the criterion for a longitudinal study design (RCT, prospective cohort study, systematic review, or meta-analysis).",yes,"The study clearly specifies temporal measurements, focusing on the first 24 hours post-quit, with specific mention of symptoms emerging within 3 hours, which meets the criterion for reporting specific timeframes between smoking cessation and outcome measurement.",Exclude,"A meta-analysis examining mood and anxiety symptoms during early smoking cessation demonstrates clear temporal measurements and mental health outcome focus. However, significant uncertainties exist regarding participant age range, population health status, and the nature of smoking cessation, which create potential screening challenges. The study's comprehensive approach to analyzing mental health symptoms during acute abstinence provides valuable insights, despite these methodological ambiguities.",2.7
Does smoking cessation result in improved mental health? A comparison of regression modelling and propensity score matching,"Gemma Taylor, A. Girling, A. McNeill, P. Aveyard",10.1136/bmjopen-2015-008774,https://doi.org/10.1136/bmjopen-2015-008774,BMJ Open,13,2015,yes,"The study included only adult participants (aged 18 or older) who were current smokers at baseline, as explicitly stated in the abstract.",yes,"The study measured complete smoking cessation, as it specifically identified ""confirmed abstinent"" participants at both 6 and 12 months, indicating complete cessation.",yes,"The study measured at least one of the following using validated measures: mental well-being, life satisfaction, or quality of life, as it used the SF-36, which is a validated measure of mental health and quality of life.",yes,"The study included mental well-being measures, as it explicitly measured mental health outcomes using the SF-36.",yes,"The study population was free from severe mental illness or substance use disorders as primary conditions, as the abstract specifically mentioned excluding participants ""under psychiatric care"" and those deemed unfit by a GP.",yes,"The study design was longitudinal, as it was a secondary analysis of prospective data from randomized trials, which qualifies as a longitudinal design.",yes,"The study reported specific timeframes between smoking cessation and outcome measurement, with clear timeframes from baseline (while smoking) to 12-month follow-up, and 6-month intermediate measurements.",Include,"This study of adult smokers meets all screening criteria, including a longitudinal design with clear temporal measurements, validated mental health outcomes, and a population free from severe mental illness. The research explicitly measures complete smoking cessation and uses the SF-36 to assess mental health changes, with participants carefully selected to exclude those under psychiatric care or with significant health concerns.",4.8
Experienced Effects on Well-Being following Smoking Cessation: Findings from the 2020 ITC Four Country Smoking and Vaping Survey,"Lin Li, R. Borland, H. Yong, Shannon Gravely, G. Fong, K. Cummings, Katherine A. East, Michael R. Le Grande",10.3390/ijerph191610037,https://doi.org/10.3390/ijerph191610037,International Journal of Environmental Research and Public Health,3,2022,maybe,"The abstract does not explicitly state the age range of participants, so there is some uncertainty about whether the study includes only adult participants (aged 18 or older) who were current smokers at baseline.",yes,"The study focuses on ""ever-daily smoking ex-smokers,"" suggesting complete cessation rather than reduction.",maybe,"The study measures relevant mental well-being outcomes, including emotion coping and enjoyment of life. However, it's unclear if these are validated measures, though given the large-scale survey nature, they likely are.",yes,"The study clearly includes mental well-being measures, including emotion coping, enjoyment of life, and day-to-day functioning.",maybe,"The abstract doesn't mention excluding or including participants with severe mental illness or substance use disorders, so there is uncertainty about the population's health status.",no,"The study appears to be a cross-sectional analysis of survey data, not a longitudinal study. While it examines outcomes over time since quitting, it's not following participants over time, which is a significant limitation for inclusion.",yes,"The study does report specific timeframes, examining outcomes ""up to 5 years"" after quitting and specifically mentions ""more than 1 year prior.""",Exclude,"A cross-sectional survey examining smoking cessation and well-being presents mixed alignment with screening criteria, with strong coverage of mental health outcomes and temporal measurements. However, the non-longitudinal design and uncertainties around participant age range and population health status create significant limitations for potential inclusion. The study's comprehensive exploration of well-being changes after smoking cessation is offset by methodological constraints that may prevent full compliance with screening requirements.",2.1
Smoking Cessation and Improvement in Mental Health Outcomes: Do People Who Quit Smoking by Switching to Electronic Cigarettes Experience Improvement in Mental Health?,"R. Dahal, K. Adhikari, S. Patten",10.1177/0706743720917775,https://doi.org/10.1177/0706743720917775,Canadian journal of psychiatry. Revue canadienne de psychiatrie,8,2020,maybe,"The abstract does not explicitly state the age range of participants, so there is uncertainty about whether the study included only adult participants (aged 18 or older) who were current smokers at baseline.",maybe,"The study focuses on ""former smokers,"" suggesting complete cessation rather than just reduction. However, the focus on e-cigarette use as an alternative raises questions about whether complete cessation was achieved.",maybe,"The study measures depression status, which is a mental health outcome. However, it is unclear if validated measures were used.",yes,"The study includes mental health measures, specifically depression status, which meets this criterion.",maybe,"The abstract does not specify whether participants with severe mental illness or substance use disorders were excluded, creating uncertainty about the population health status.",maybe,"The abstract does not clearly specify the study design, so it is unclear whether the study was longitudinal (RCT, prospective cohort study, systematic review, or meta-analysis).",no,"The abstract does not mention specific timeframes between smoking cessation and outcome measurement, which is a significant omission.",Exclude,"The study explores mental health outcomes among former smokers, with a focus on e-cigarette use, but lacks critical details about participant demographics, study design, and temporal measurements. While addressing mental health outcomes, the abstract creates uncertainty regarding complete smoking cessation, population health status, and the use of validated measurement tools. These omissions prevent a definitive assessment of the study's alignment with comprehensive screening criteria.",2.1
"Stopping smoking may improve mental health, Cochrane review finds",Elisabeth Mahase,10.1136/bmj.n676,https://doi.org/10.1136/bmj.n676,British medical journal,1,2021,maybe,"The abstract does not explicitly state the age range of participants, so it is unclear whether the study included only adult participants (aged 18 or older) who were current smokers at baseline.",maybe,"The abstract mentions ""people who stopped smoking"" and compares them to ""people who continued to smoke,"" suggesting complete cessation was measured, though the exact definition is not provided.",maybe,"The study measures mental health symptoms including depression, anxiety, and stress. While these are likely measured using validated tools (given it's a Cochrane review), the abstract does not explicitly confirm the use of validated measures.",yes,"The study clearly includes mental well-being measures, specifically mentioning depression, anxiety, and stress, meeting this criterion.",maybe,"The abstract does not specify whether participants had pre-existing mental health conditions or substance use disorders, so the population health status is unclear.",yes,"The paper is a Cochrane review, which meets the criterion as systematic reviews are explicitly included in the acceptable study designs.",yes,"The abstract mentions ""at least six weeks"" as a timeframe for measuring outcomes, which meets this criterion.",Exclude,"A Cochrane review examining smoking cessation's impact on mental health demonstrates promising outcomes across multiple psychological domains, with clear temporal measurements and relevant mental health indicators. While the study appears to meet several key screening criteria, significant uncertainties remain regarding participant demographics, population health status, and precise measurement validation.",3.8
Changes in prevalence of depression and anxiety following smoking cessation: results from an international cohort study (ATTEMPT),"L. Shahab, S. Andrew, R. West",10.1017/S0033291713000391,https://doi.org/10.1017/S0033291713000391,Psychological Medicine,33,2013,maybe,"The abstract does not explicitly state the age range of participants, but the study is described as a ""general population"" study of smokers, suggesting the participants are likely adults, though this cannot be confirmed without explicit confirmation.",yes,"The study measures complete cessation, comparing those who had stopped smoking for different durations with current smokers, meeting the complete cessation criterion.",maybe,"The study measures depression and anxiety using ""established measures,"" though it's not explicitly stated if these are validated measures. The outcomes are clearly mental health-related, but there's some uncertainty about the validation status of the measures.",yes,"The study explicitly includes mental health measures (depression and anxiety), not just physical health outcomes, meeting the outcome scope criterion.",yes,"The study includes both the general population and those with a history of depression/anxiety, but does not appear to focus on severe mental illness or substance use disorders as primary conditions, suggesting the population is appropriate for the review's scope.",yes,"The study is clearly described as an ""international longitudinal study"" with a 12-month follow-up period, indicating it meets the longitudinal study design criterion.",yes,"The study reports specific timeframes, comparing those who stopped smoking for ""less than 3 months"" versus ""at least 3 months"" at the 12-month follow-up, meeting the temporal measurement criterion.",Include,"A longitudinal study examining smoking cessation's impact on mental health, the research comprehensively measures depression and anxiety outcomes across different population groups. The study meets most screening criteria, with robust temporal measurements and clear focus on mental health outcomes, though some minor uncertainties exist regarding participant age range and measure validation. Overall, the research provides a nuanced exploration of smoking cessation's psychological effects.",4.5
Smoking cessation and quality of life: the effect of amount of smoking and time since quitting.,"I. Mulder, M. Tijhuis, H. Smit, D. Kromhout",10.1006/PMED.2001.0941,https://doi.org/10.1006/PMED.2001.0941,Preventive Medicine,113,2001,maybe,"The study includes adults aged 20-59 years, which meets the age requirement. However, it's not explicitly stated that all participants were current smokers at baseline, though the comparison between ex- and current smokers suggests this.",yes,"The study distinguishes between ex-smokers and current smokers, suggesting complete cessation rather than just reduction.",yes,"The study uses the RAND-36 questionnaire, which is a validated measure that includes mental health and quality of life components.",yes,"The study includes mental well-being measures through the RAND-36 questionnaire, which covers both physical and mental health dimensions.",yes,"The abstract specifically mentions participants ""without history of tobacco-related chronic diseases,"" suggesting the population is free from severe conditions.",no,"The abstract explicitly states this is a cross-sectional study, not a longitudinal design, which is a critical limitation for inclusion.",maybe,"The study does consider time since quitting (mentions <5 or ≥10 years), but this is retrospective rather than prospective measurement.",Exclude,"A cross-sectional study examining smoking cessation and quality of life among adults aged 20-59, which partially meets screening criteria through validated mental health measurements and appropriate population selection. However, the non-longitudinal design and retrospective temporal measurements represent significant limitations against the specified screening requirements. The study provides insights into smoking cessation's impact on mental well-being but falls short of the comprehensive longitudinal approach sought.",1.3
Short-term economic and health benefits of smoking cessation: myocardial infarction and stroke.,"J. Lightwood, S. Glantz",10.1161/01.CIR.96.4.1089,https://doi.org/10.1161/01.CIR.96.4.1089,Circulation,371,1997,maybe,"The abstract mentions ""adult smoking"" but does not explicitly state that all participants were 18 or older. However, the focus on adult smoking and the context suggests an adult population, though some uncertainty exists.",yes,"The study appears to focus on complete cessation (""creating a new nonsmoker"") rather than just reduction, so this criterion is met.",no,"The study does not measure any of the specified mental health outcomes (mental well-being, life satisfaction, or quality of life), which is a clear failure to meet this criterion.",no,"The study focuses exclusively on physical health outcomes (AMI and stroke) and economic costs, and there is no mention of mental well-being measures, which is a clear failure to meet this criterion.",maybe,"The abstract does not specify whether participants had severe mental illness or substance use disorders, so this information is unclear.",no,"This appears to be a modeling/simulation study rather than a longitudinal study design specified in the criteria. It uses existing data to estimate outcomes but does not follow participants over time, which is a significant mismatch with the criteria.",yes,"The study does report specific timeframes, including first year and 7-year outcomes, so this criterion is met.",Exclude,"The study fails to meet key screening criteria, particularly the requirement for mental health outcome measurements and a longitudinal study design. While addressing smoking cessation and providing temporal measurements, the research focuses exclusively on physical health and economic outcomes, fundamentally misaligning with the specified review parameters. Critical gaps exist in population health status and mental well-being assessment.",0.5
21st-century hazards of smoking and benefits of cessation in the United States.,"P. Jha, C. Ramasundarahettige, V. Landsman, Brian L. Rostron, M. Thun, Robert N. Anderson, T. McAfee, R. Peto",10.1056/NEJMsa1211128,https://doi.org/10.1056/NEJMsa1211128,New England Journal of Medicine,1618,2013,maybe,"The study includes adults 25+ years old, which meets the age requirement. However, it's not explicitly stated that all participants were current smokers at baseline, though the study does analyze current smokers as a group.",yes,"The study appears to measure complete smoking cessation, as evidenced by the analysis of quitters versus continuing smokers.",no,"The study doesn't measure mental well-being, life satisfaction, or quality of life. It focuses solely on mortality outcomes.",no,The abstract focuses exclusively on mortality and life expectancy outcomes. There is no mention of mental well-being measures.,maybe,The abstract doesn't specify whether participants with severe mental illness or substance use disorders were excluded.,yes,"This is a longitudinal study using national health interview survey data with mortality follow-up, making it a prospective cohort study.",maybe,"While the study tracks outcomes over time (1997-2004 interviews with follow-up to 2006), it doesn't specifically report timeframes between cessation and outcome measurement for mental health outcomes.",Exclude,"The study primarily focuses on mortality outcomes among smokers, lacking any mental health or well-being measurements. While meeting some screening criteria like adult population and longitudinal design, the research fails to address mental health outcomes, population health status, and temporal measurements of psychological impacts. Consequently, the study does not align with the comprehensive screening requirements for mental health-related research.",0.9
Improvements in health-related quality of life among smokers who quit after hospitalization.,"D. Levy, Yuchiao Chang, S. Regan, H. Tindle, D. Singer, N. Rigotti",10.1016/j.ypmed.2018.02.006,https://doi.org/10.1016/j.ypmed.2018.02.006,Preventive Medicine,13,2018,maybe,"The abstract does not explicitly state the age range of participants, but since they are hospitalized patients, it is very likely they are adults. However, there is no 100% confirmation of this in the abstract.",yes,"The study measures complete cessation, defined as ""biochemically confirmed 7-day point prevalence abstinence"" and ""self-reported continuous abstinence.""",yes,"The study uses validated measures including PHQ-4 for psychological distress and EQ-5D-5L for health utilities, which includes quality of life measures.",yes,"The study includes mental well-being measures, specifically psychological distress measured by PHQ-4, alongside physical health measures.",maybe,"The abstract does not explicitly state whether participants with severe mental illness or substance use disorders were excluded. This creates some uncertainty, though the hospital setting suggests these might have been screened out.",yes,"The study is clearly longitudinal, following participants for 6 months post-discharge. It appears to be a prospective cohort study or RCT, meeting this criterion.",yes,"The study clearly reports specific timeframes: measurements at 1, 3, and 6 months post-discharge, with clear temporal relationships between cessation and outcomes.",Include,"A longitudinal study of hospitalized smokers demonstrates comprehensive measurement of smoking cessation outcomes, including validated mental health and quality of life measures across multiple timepoints. The research captures complete smoking cessation through biochemical and self-reported methods, with robust tracking of psychological and health-related quality of life changes. While most screening criteria are strongly met, some uncertainty exists regarding explicit confirmation of participant age range and exclusion of severe mental health conditions.",4.5
Smoking cessation for improving mental health.,"Gemma M J Taylor, N. Lindson, A. Farley, Andrea Leinberger-Jabari, K. Sawyer, Rebecca Te Water Naudé, Annika Theodoulou, Naomi King, C. Burke, P. Aveyard",10.1002/14651858.CD013522.pub2,https://doi.org/10.1002/14651858.CD013522.pub2,Cochrane Database of Systematic Reviews,10,2021,yes,"The study included only adult participants (aged 18 or older) who were current smokers at baseline, as explicitly stated in the abstract.",yes,"The study specifically looked at smoking cessation (quitting) versus continuing to smoke, indicating complete cessation rather than just reduction, as mentioned in the abstract.",yes,"The study measured multiple validated mental health outcomes, including depression, anxiety, stress, and quality of life measures, as stated in the abstract.",yes,"The study included mental well-being measures, such as depression, anxiety, stress, psychological quality of life, and positive affect, as extensively covered in the abstract.",maybe,"While the study included both ""unselected people"" and those ""with mental illness,"" it was not explicitly stated whether participants with severe mental illness or substance use disorders were excluded. The abstract mentioned including people ""diagnosed with mental health conditions"" but did not specify severity levels.",yes,"The study design was longitudinal, including randomized controlled trials (RCTs) and longitudinal cohort studies, as specified in the abstract.",yes,"The study reported specific timeframes between smoking cessation and outcome measurement, with the abstract stating that studies had to measure outcomes ""at baseline and at least six weeks later.""",Include,"A systematic review of smoking cessation's impact on mental health, involving over 169,500 adult participants, comprehensively examined mental well-being outcomes across multiple validated measures. The study met most screening criteria, with robust longitudinal design and clear temporal measurements of smoking cessation's effects on depression, anxiety, and quality of life. While some uncertainty existed regarding the severity of participants' mental health conditions, the research provided strong evidence of mental health improvements following smoking cessation.",4.5
