Title,Authors,DOI,DOI link,Venue,Citation count,Year,Adult Population,"Reasoning for ""Adult Population""",Smoking Status,"Reasoning for ""Smoking Status""",Complete Cessation,"Reasoning for ""Complete Cessation""",Outcome Measures,"Reasoning for ""Outcome Measures""",Study Design,"Reasoning for ""Study Design""",Follow-up Duration,"Reasoning for ""Follow-up Duration""",Psychological Measures,"Reasoning for ""Psychological Measures""",General Population,"Reasoning for ""General Population""",Screening judgement,"Reasoning for ""Screening judgement""",Screening score
Smoking cessation and smoking patterns in the general population: a 1-year follow-up.,"R. West, A. McEwen, K. Bolling, L. Owen",10.1046/J.1360-0443.2001.96689110.X,https://doi.org/10.1046/J.1360-0443.2001.96689110.X,Addiction,314,2001,yes,"The study explicitly mentioned that the participants were ""adult smokers"", indicating that all study participants were 18 years or older.",yes,"The study focused on a ""national sample of UK smokers"", which likely includes regular cigarette smokers (≥1 cigarette/day) prior to cessation, though the specific daily consumption was not explicitly stated.",yes,"The study examined complete cigarette smoking cessation, as it specifically mentioned ""quit attempts"" and ""still not smoking at least 3 months later"", indicating that the study looked at complete cessation rather than just reduction or switching to alternatives.",maybe,"The abstract did not explicitly mention the use of validated scales or instruments to measure life satisfaction, quality of life, or wellbeing, so there is no clear evidence that this criterion was met.",yes,"The study design was described as a longitudinal study with a 1-year follow-up period, which meets the criteria for a longitudinal study, cohort study, randomized controlled trial, or systematic review.",yes,"The study had a 1-year follow-up period, with specific mention of a 3-month follow-up for quit attempts, which meets the criteria for a follow-up duration of at least 3 months.",maybe,"While the abstract mentioned some psychological factors, such as beliefs about health effects and enjoyment of smoking, there was no clear indication that the study included comprehensive psychological or quality of life measures beyond just physical health outcomes.",yes,"The study used a ""national sample of UK smokers"", indicating that it was conducted in a general population rather than focusing exclusively on specific medical conditions or unique populations.",Exclude,"A longitudinal study of UK adult smokers demonstrates clear evidence of meeting most screening criteria, including adult population, study design, complete cessation, smoking status, general population, and follow-up duration. However, the abstract lacks explicit confirmation of validated psychological measures and comprehensive quality of life assessments, creating some uncertainty in these specific areas.",2.9
Smoking and the compression of morbidity,"W. Nusselder, Caspar W. N. Looman, P. J. V. D. Mheen, D. Mheen, J. Mackenbach",10.1136/jech.54.8.566,https://doi.org/10.1136/jech.54.8.566,Journal of Epidemiology and Community Health,111,2000,yes,"The study included participants aged 30-74 years (GLOBE) and 70+ (LSOA), which clearly meets the requirement for an adult population (18 years or older).",maybe,"While the study includes smokers, it does not specify the frequency of smoking, so it cannot be confirmed if participants were regular smokers (≥1 cigarette/day).",maybe,"The abstract discusses ""eliminating smoking"" but does not explicitly study cessation. The focus is on comparing smoking vs non-smoking populations rather than cessation outcomes, so it does not clearly meet this criterion.",maybe,"The study measures disability and life expectancy, but does not explicitly mention the use of validated scales for life satisfaction or quality of life. The focus appears to be on physical disability rather than psychological measures.",yes,"The study used longitudinal data from the GLOBE study and LSOA, which meets the criterion for a longitudinal study design.",maybe,"While the study is longitudinal, the specific follow-up duration is not mentioned, so it cannot be confirmed if it meets the 3-month requirement.",no,"The study does not mention any psychological or quality of life measures, and the focus is on physical disability and mortality, so it does not meet this criterion.",yes,"The study was conducted in the general population of Dutch nationals and US citizens, with no focus on specific medical conditions or unique populations, so it meets the criterion for a general population.",Exclude,"The study involves adult populations and uses a longitudinal design, but lacks clear evidence of complete smoking cessation and psychological outcome measures. While examining smoking's impact on disability and life expectancy, the research does not fully align with the systematic review's specific criteria for smoking cessation and psychological well-being. Significant uncertainties exist regarding smoking frequency, follow-up duration, and the depth of psychological assessment.",1.3
Association between smoking cessation and short-term health-care use: results from an international prospective cohort study (ATTEMPT),"E. Beard, L. Shahab, S. Curry, R. West",10.1111/add.12281,https://doi.org/10.1111/add.12281,Addiction,4,2013,yes,"The study specifically included participants aged 35-65 years, which is well above the 18-year-old requirement for an adult population.",yes,"The study explicitly stated that participants smoked ""at least five cigarettes per day"", meeting the criterion for regular smokers.",yes,"The study examined complete smoking cessation, measuring ""abstinence"" periods of 3, 6, and 12 months, rather than just reduction or switching to alternatives.",maybe,"The abstract did not explicitly mention the use of validated scales or instruments to measure life satisfaction, quality of life, or wellbeing, which is a significant uncertainty.",yes,"The study design was a longitudinal cohort study (ATTEMPT cohort) with a prospective survey and follow-ups every 3 months, which meets the criteria for acceptable study designs.",yes,"The study had an 18-month duration with follow-ups every 3 months, clearly exceeding the minimum 3-month requirement for follow-up duration.",maybe,"The abstract did not clearly indicate whether the study included psychological or quality of life measures beyond just physical health outcomes, which is another significant uncertainty.",yes,"The study was a multi-national study across the US, Canada, UK, France, and Spain, with no indication of a focus on specific medical conditions, suggesting it was conducted in a general population.",Exclude,"A multi-national longitudinal study of adult smokers aged 35-65 demonstrates complete smoking cessation across multiple countries with an 18-month follow-up period. While meeting most population and design criteria, the study lacks clear evidence of validated psychological or quality of life outcome measures, creating significant uncertainty about its alignment with comprehensive screening requirements.",1.7
Do cigarette smokers with erectile dysfunction benefit from stopping?: a prospective study,"G. Pourmand, M. Alidaee, S. Rasuli, A. Maleki, A. Mehrsai",10.1111/j.1464-410X.2004.05162.x,https://doi.org/10.1111/j.1464-410X.2004.05162.x,BJU International,101,2004,maybe,"The abstract does not specify the participant age ranges, so it is unclear whether all study participants were 18 years or older.",yes,"The abstract refers to ""smokers"" and smoking as a risk factor, suggesting the study included regular cigarette smokers.",yes,"The abstract mentions ""stopping smoking"" which suggests complete cessation rather than reduction.",no,"While erectile dysfunction is measured, there is no mention of validated scales for life satisfaction or quality of life.",maybe,"The abstract does not explicitly state the study design, though it appears to be an interventional study.",maybe,No information about the follow-up duration is provided in the abstract.,no,"The abstract only mentions erectile dysfunction as an outcome, with no reference to psychological or quality of life measures.",no,"The study specifically focuses on smokers with erectile dysfunction, which is a specific medical condition, rather than the general population.",Exclude,"The study focuses on a specific medical condition (erectile dysfunction) in smokers, which disqualifies it from being a general population study. Multiple screening criteria remain unclear due to the abstract's brevity, and the lack of psychological or quality of life measures further reduces its alignment with the review's requirements. The narrow medical focus and absence of comprehensive outcome measures suggest this study would not meet the established screening criteria.",0.5
Health consequences of sustained smoking cessation,"K. Bjartveit, A. Tverdal",10.1136/tc.2008.026898,https://doi.org/10.1136/tc.2008.026898,Tobacco Control,51,2009,maybe,"The study includes participants aged 20-49, which meets the adult requirement, but it is unclear if there were any participants under 18.",maybe,"While the study includes ex-smokers, the abstract doesn't specify the smoking frequency before cessation (≥1 cigarette/day requirement), so it is unclear if this criterion is met.",yes,"The study examines ex-smokers and specifically looks at sustained cessation versus resumption of smoking, which meets the criteria for complete cessation.",no,"The abstract only mentions mortality outcomes and doesn't indicate use of validated scales for life satisfaction, quality of life, or wellbeing, so this criterion is not met.",yes,"The study is explicitly described as a ""prospective cohort study"", which meets the criteria for study design.",yes,"The study had a follow-up period of 3-13 years, well exceeding the 3-month minimum requirement, which meets the criteria for follow-up duration.",no,"The study focuses on mortality and physical health outcomes (cardiovascular disease, cancer) without mention of psychological or quality of life measures, so this criterion is not met.",yes,"The study was conducted in three counties in Norway with a general population sample, not focusing on specific medical conditions, which meets the criteria for a general population.",Exclude,"A prospective cohort study of smoking cessation in Norwegian adults aged 20-49 demonstrates strong methodological design with long-term follow-up, but lacks psychological and quality of life outcome measures. While meeting several screening criteria related to population, study design, and cessation, the research primarily focuses on mortality and physical health outcomes rather than comprehensive wellbeing assessments.",0.9
SMOKING CESSATION – WHAT’S NEW?,ANCUȚA-ALINA CONSTANTIN ,10.31925/farmacia.2023.5.1,https://doi.org/10.31925/farmacia.2023.5.1,Farmacia,1,2023,maybe,"The abstract does not explicitly state the age range of participants, so it is unclear if all study participants were 18 years or older.",yes,"The abstract mentions ""current smokers"" and ""daily cigarette consumption,"" indicating regular smokers were included.",yes,"The abstract discusses smoking cessation and mentions staying ""smoke-free for at least 6 months,"" suggesting complete cessation is considered.",no,"The abstract does not mention any validated scales or instruments for measuring life satisfaction, quality of life, or wellbeing. It focuses more on psychological symptoms and personality traits.",no,"The abstract appears to be a review or commentary rather than a primary research study, and it does not present a specific study design that matches the criteria.",maybe,"While the abstract mentions ""at least 6 months"" for staying smoke-free, this appears to be a general statistic rather than a specific study follow-up period.",yes,"The abstract does discuss psychological measures (extraversion, neuroticism, conscientiousness) and psychological symptoms (depressed mood, anxiety, irritability), meeting this criterion.",yes,"The abstract appears to discuss smoking cessation in the general population, without focusing on specific medical conditions or unique populations.",Exclude,"The abstract discusses smoking cessation but lacks clear evidence of meeting key screening criteria, particularly regarding study design, participant age range, and validated outcome measures. While touching on psychological aspects of smoking cessation, the text appears to be a general review rather than a primary research study with definitive methodological details. Multiple screening criteria remain unaddressed or ambiguous, preventing straightforward inclusion.",1.3
Smoking cessation and depression after acute coronary syndrome.,"K. Krasieva, C. Clair, B. Gencer, D. Carballo, R. Klingenberg, L. Räber, S. Windecker, N. Rodondi, C. Matter, T. Lüscher, F. Mach, O. Muller, D. Nanchen",10.1016/j.ypmed.2022.107177,https://doi.org/10.1016/j.ypmed.2022.107177,Preventive Medicine,2,2022,yes,"The study included an adult population with a mean age of 62.4 years, and there was no mention of participants under 18 years old.",yes,"40.9% of the participants were smokers at baseline, and the context suggests they were regular smokers, even though the specific number of cigarettes per day was not mentioned.",yes,The study specifically looked at smoking cessation and compared continuous smokers with those who quit.,maybe,"The study used the Center for Epidemiologic Studies Depression scale (CES-D), which is a validated scale, but it measures depression rather than life satisfaction or quality of life specifically.",yes,The study design was a cohort study (SPUM-ACS cohort study) with a one-year follow-up period.,yes,"The study included a one-year follow-up period, which exceeds the 3-month requirement.",yes,"The study included psychological measures, specifically depression, and used a validated instrument (CES-D).",no,"The study focused exclusively on acute coronary syndrome (ACS) patients, which is a specific medical condition population, not a general population.",Exclude,"The study focuses on acute coronary syndrome patients, which disqualifies it from being a general population sample, and uses depression as the primary outcome measure rather than broader life satisfaction or quality of life metrics. While the research meets several screening criteria like adult population and complete cessation, the specific medical condition population and narrow psychological focus prevent it from fully satisfying the screening requirements.",1.3
Smoking Cessation and the Role of Stigma: A Systematic Review,C. White,-,-,-,0,2016,no,"Elicit was unable to assess whether the study population was adults 18 years or older, as the provided abstract only contained the number ""3"" and did not include any information about the study participants.",no,"Elicit was unable to determine the smoking status of the study participants, as the provided abstract did not contain any information about the study population.",no,"Elicit was unable to assess whether the study examined complete cigarette smoking cessation, as the provided abstract did not contain any information about the study's focus or outcomes.",no,"Elicit was unable to assess whether the study used validated scales or instruments to measure life satisfaction, quality of life, or wellbeing, as the provided abstract did not contain any information about the study's outcome measures.",no,"Elicit was unable to determine the study design, as the provided abstract did not contain any information about the study methodology.",no,"Elicit was unable to determine the follow-up duration of the study, as the provided abstract did not contain any information about the study's methodology or timeline.",no,"Elicit was unable to determine whether the study included psychological or quality of life measures beyond just physical health outcomes, as the provided abstract did not contain any information about the study's measures or outcomes.",no,"Elicit was unable to assess whether the study was conducted in a general population or focused on a specific medical condition or unique population, as the provided abstract did not contain any information about the study population.",Exclude,"No substantive information is available to assess the screening criteria, as the provided text contains only a single number ""3"" without any contextual details about study design, population, or research parameters. Consequently, it is impossible to determine whether the study meets any of the specified inclusion requirements.",0.1
"PRELIMINARY VERSION – PLEASE DO NOT QUOTE Stop Smoking, Your Paycheck Will Thank You! Wage Effects from Smoking Cessation","Silke Anger, M. Kvasnička",-,-,-,0,2011,maybe,"The abstract does not explicitly state the age of participants, but since the study is focused on wage effects in Germany using survey panel data, it is likely that the participants were working-age adults (18+), though this is not certain.",maybe,"The study focuses on ""ever smokers"" and compares current smokers to former smokers, suggesting that the participants were regular cigarette smokers (≥1 cigarette/day) prior to cessation.",yes,"The study examines former smokers and compares them to current smokers, suggesting that it focuses on complete cessation rather than just reduction.",no,"The study focuses on wage effects rather than life satisfaction, quality of life, or wellbeing measures, and therefore does not meet this criterion.",yes,"The study appears to be a longitudinal study using ""survey panel data"" over an ""extended period of time,"" which meets the criterion for a longitudinal study design.",maybe,"The abstract mentions ""an extended period of time"" and discusses ""long-term quitters,"" suggesting that the study included a follow-up period of at least 3 months, though the exact duration is not specified.",no,"The study appears to focus solely on economic outcomes (wages) without including psychological or quality of life measures, and therefore does not meet this criterion.",yes,"The study appears to use a general population sample from Germany, not focusing on specific medical conditions or unique populations.",Exclude,"The study focuses on wage effects of smoking cessation using German survey panel data, examining ever smokers across different time periods. While meeting several screening criteria like study design and general population, the research critically fails to include psychological or quality of life measures, which appear to be key requirements for the systematic review. The economic focus and lack of validated psychological instruments significantly limit its alignment with the screening criteria.",0.5
Effects of Cigarette Smoking and 3‐Day Smoking Abstinence on Translocator Protein 18 kDa Availability: A [18F]FEPPA Positron Emission Tomography Study,"Arthur L. Brody, Andre Y Sanavi, Renee Beverly‐Aylwin, Natalie Guggino, Anna K Mischel, Alvin Wong, Ji Hye Bahn, Mark G. Myers, Brinda Rana, David R Vera, Kishore K. Kotta, Jeffrey H Meyer, Jared W Young, Carl K. Hoh",10.1111/adb.70024,https://doi.org/10.1111/adb.70024,Addiction Biology,0,2025,maybe,"The study was conducted in Veterans, which implies adult participants. However, the exact age range is not explicitly stated, so there is some uncertainty about whether all participants were 18 years or older.",yes,"The study included regular smokers, though the exact smoking frequency is not specified. The mention of ""smoke to satiety"" suggests regular smoking behavior.",no,"The study only examined ""three nights of continuous abstinence"" rather than complete cessation, which is a very short-term abstinence period.",no,The study primarily focused on biological markers (PET/CT scanning) and only briefly mentioned mood ratings. There's no indication of validated scales for life satisfaction or quality of life.,no,"This is described as an ""observational study"" with a comparison between groups, which does not appear to be a longitudinal study, cohort study, randomized controlled trial, or systematic review.",no,"The study only looked at three nights of abstinence, which is far shorter than the required 3-month follow-up period.",maybe,"While mood ratings were included, they appear to be secondary to the biological measurements and don't seem to be comprehensive psychological or quality of life measures.",maybe,"The study was conducted in ""generally healthy Veterans"" at a VA medical center, which is a specific population but not focused on a specific medical condition.",Exclude,"The study fails to meet several key screening criteria, including the required study design, follow-up duration, and comprehensive outcome measures. Specifically, the observational study with a short three-night abstinence period and limited psychological assessments does not align with the predefined screening requirements for a comprehensive smoking cessation research study.",0.5
Supporting smoking cessation in people with a mental health condition,D. Robson,10.12968/NPRE.2018.16.9.428,https://doi.org/10.12968/NPRE.2018.16.9.428,Nurse Prescribing,0,2018,maybe,"The abstract does not specify the age range of participants, so it is unclear whether all study participants were 18 years or older.",maybe,"While the abstract mentions smoking, it doesn't specify the frequency or regularity of smoking.",no,The abstract does not mention cessation at all - it appears to be about smoking patterns in people with mental health conditions.,maybe,"While ""wellbeing"" is mentioned, there's no indication of validated scales or instruments being used.",maybe,"The abstract appears to be describing a general relationship rather than presenting a specific study design, so the study design cannot be confirmed.",maybe,No information about follow-up duration is provided.,maybe,"The abstract mentions wellbeing, but doesn't specify the measures used.",no,"The abstract explicitly focuses on people with mental health conditions, which is specifically excluded by the criteria as a ""unique population.""",Exclude,"The abstract focuses on smoking patterns among people with mental health conditions, which immediately disqualifies it from meeting the general population screening criterion. Insufficient details are provided to confirm most other screening requirements, and the text does not address smoking cessation, further reducing its potential for inclusion. Multiple critical screening criteria remain unmet or unconfirmed.",0.5
Life quality predictors in smokers and abstinents,"N. Andrade, Maria da Graça Pereira",10.9788/TP2012.2-09,https://doi.org/10.9788/TP2012.2-09,-,0,2012,maybe,"The abstract does not explicitly state the age range of participants, so there is some uncertainty about whether all participants were 18 years or older.",maybe,"The study includes smokers, but does not specify the frequency of smoking (≥1 cigarette/day). However, the use of FTND suggests regular smoking.",maybe,"The study includes ""abstinents"" but does not specify if this refers to complete cessation or just reduction, so there is some uncertainty about whether the study examined complete cigarette smoking cessation.",yes,"The study uses validated instruments including MOS SF-36 for quality of life, which meets this criterion.",no,"The study appears to be a cross-sectional comparison between smokers and abstinents, not a longitudinal study, cohort study, RCT, or systematic review, so it fails to meet this criterion.",no,"The abstract does not mention any follow-up period, and the study appears to be a cross-sectional study, failing to meet the 3-month follow-up requirement.",yes,"The study includes multiple psychological measures (DASS, F-COPES) beyond physical health outcomes, meeting this criterion.",maybe,"The study appears to be conducted in a general population, though it includes some participants with chronic respiratory disease, so it partially meets this criterion.",Exclude,"The study fails to meet key screening criteria, particularly regarding study design and follow-up duration, with significant uncertainties around participant age and complete smoking cessation. While the research includes validated psychological and quality of life measures, critical methodological requirements are not satisfied, rendering the study unlikely to meet the comprehensive screening standards.",0.9
[Predicted effect of smoking cessation of tobacco-related mortality].,H. Brønnum-Hansen,-,-,Ugeskrift for læger,7,2000,maybe,"The abstract does not explicitly state the age range of participants, so it is unclear if all study participants were 18 years or older.",maybe,"While the study involves cigarette smokers, it does not specify the smoking frequency (≥1 cigarette/day) of participants.",maybe,"The study examines a ""smoke-free year group"" and reduction in smoking rates, but does not specifically focus on complete cessation. It appears to be more about population-level smoking reduction.",no,"The study focuses on mortality rates from specific diseases (lung cancer, chronic bronchitis, emphysema, ischaemic heart disease, stroke) rather than life satisfaction, quality of life, or wellbeing measures.",no,"This is a simulation study using the ""Prevent"" model, not a longitudinal study, cohort study, randomized controlled trial, or systematic review, so it does not meet the study design criterion.",maybe,"The study projects outcomes over 20 years, which would meet the 3-month minimum requirement, though this is a simulation rather than actual follow-up.",no,No psychological or quality of life measures are mentioned; the study focuses exclusively on physical health outcomes and mortality.,yes,"The study does examine the general Danish population, meeting this criterion.",Exclude,"This simulation study examining smoking-related mortality in Denmark fails to meet multiple screening criteria, particularly regarding study design, outcome measures, and psychological assessments. The research focuses on population-level mortality projections rather than individual cessation experiences or quality of life measures, rendering it unsuitable for the specified screening requirements.",0.1
"Longitudinal association between smoking abstinence and depression severity in those with baseline current, past, and no history of major depressive episode in an international online tobacco cessation study.","Nancy H. Liu, Chaorong Wu, E. Perez-stable, R. Muñoz",10.1093/ntr/ntaa036,https://doi.org/10.1093/ntr/ntaa036,Nicotine & Tobacco Research,9,2020,maybe,"The abstract does not explicitly state the age range of participants, but given that it is a smoking cessation trial with depression measures, it is likely an adult population, though this is not certain.",maybe,"Participants are described as ""smokers"" recruited for a cessation trial, though the exact daily cigarette consumption is not specified.",yes,"The study measures ""smoking abstinence"" and uses ""7-day point prevalence smoking status"" as an outcome measure, indicating that it examines complete cigarette smoking cessation.",yes,"The study uses the Center for Epidemiological Studies Depression Scale (CES-D), which is a validated scale for measuring depression severity.",yes,"The study is explicitly stated as a ""randomized controlled tobacco cessation trial"" with longitudinal follow-up, which meets the criteria for study design.",yes,"The study includes follow-up at 1, 3, 6, and 12 months, exceeding the 3-month minimum requirement.",yes,"The study focuses on depression severity as the primary outcome measure, which includes psychological measures beyond just physical health outcomes.",no,"The study specifically focuses on participants with depression history and severity, making it a specialized population rather than a general population study.",Exclude,"A randomized controlled trial examining smoking cessation and depression severity among smokers with a history of major depressive episodes, the study meets most screening criteria but critically fails the requirement for a general population sample. The specialized focus on participants with depression history disqualifies the research from meeting the comprehensive population screening requirement, despite strong methodological design and validated psychological measures.",0.9
Smoking Cessation,"G. Huber, M. Burke, L. Nett",10.1055/s-2007-1012607,https://doi.org/10.1055/s-2007-1012607,-,0,1986,no,"No information was provided about the age of the study participants, so it is not possible to determine if all participants were 18 years or older.",no,"No information was provided about the smoking status of the study participants, so it is not possible to determine if the study included participants who were regular cigarette smokers (≥1 cigarette/day) prior to cessation.",no,"No information was provided about the smoking cessation examined in the study, so it is not possible to determine if the study looked at complete cigarette smoking cessation or just reduction or switching to alternatives.",no,"No information was provided about the outcome measures used in the study, so it is not possible to determine if the study used validated scales or instruments to measure life satisfaction, quality of life, or wellbeing.",no,"No information was provided about the study design, so it is not possible to determine if the study was a longitudinal study, cohort study, randomized controlled trial, or systematic review.",no,"No information was provided about the follow-up period of the study, so it is not possible to determine if the study included a follow-up period of at least 3 months.",no,"No information was provided about the psychological or quality of life measures included in the study, so it is not possible to determine if the study included such measures beyond just physical health outcomes.",no,"No information was provided about the study population, so it is not possible to determine if the study was conducted in a general population or focused exclusively on specific medical conditions or unique populations.",Exclude,"No substantive information is available to assess any of the screening criteria, rendering it impossible to determine the study's eligibility. The single word ""of"" provides no insights into population characteristics, study design, smoking cessation details, or outcome measures. Consequently, no meaningful screening determination can be made.",0.1
"Smoking Bans, Cigarette Prices and Life Satisfaction","R. Odermatt, A. Stutzer",10.1016/j.jhealeco.2015.09.010,https://doi.org/10.1016/j.jhealeco.2015.09.010,Journal of Health Economics,58,2013,maybe,"The abstract does not explicitly state the age range of participants, so it is uncertain whether all study participants were 18 years or older.",maybe,"The study includes ""likely smokers"" but does not specify the frequency of smoking (≥1 cigarette/day), so it is uncertain whether the participants were regular cigarette smokers prior to cessation.",no,"The study does not directly examine cessation outcomes. Instead, it focuses on the impact of smoking bans and prices on well-being, including those who ""would like to quit.""",maybe,"The study measures ""life satisfaction"" and ""subjective well-being,"" but the abstract does not specify whether validated scales were used.",yes,"The study appears to be a longitudinal analysis of data from 40 European countries between 1990-2011, which would qualify as a longitudinal study.",yes,"The study spans 21 years (1990-2011), which exceeds the 3-month minimum requirement for follow-up duration.",yes,The study focuses on psychological measures (life satisfaction and subjective well-being) beyond physical health outcomes.,yes,"The study examines the general population across 40 European countries and regions, not focusing on specific medical conditions or unique populations.",Exclude,"The study explores smoking policy impacts across European countries, examining life satisfaction and subjective well-being, but lacks clear evidence of complete smoking cessation and precise participant characteristics. While the research spans multiple years and includes a general population, uncertainties remain about participant age, smoking frequency, and the validation of outcome measures. The analysis appears more focused on policy effects than direct cessation outcomes.",2.1
Quitting smoking is associated with long term improvements in mood,J. Prochaska,10.1136/bmj.g1562,https://doi.org/10.1136/bmj.g1562,British medical journal,9,2014,no,"No information was provided about the age ranges of the study participants, so it is unclear if all participants were 18 years or older.",no,"The abstract mentions ""all smokers"" but does not specify the frequency or regularity of smoking, so it is unclear if the participants were regular cigarette smokers (≥1 cigarette/day) prior to cessation.",no,"While the abstract mentions ""stop"" smoking, it is unclear if this refers to complete cessation or just reduction in smoking.",no,"No information was provided about the measurement instruments or scales used to assess life satisfaction, quality of life, or wellbeing.",no,"No information was provided about the study design methodology, so it is unclear if the study was a longitudinal study, cohort study, randomized controlled trial, or systematic review.",no,No information was provided about the follow-up period of the study.,no,"While mental health is mentioned, there is no specific information about the inclusion of psychological or quality of life measures beyond just physical health outcomes.",no,"The abstract mentions ""all smokers"" including those with ""poor mental health,"" suggesting the study may have included specific populations rather than a purely general population.",Exclude,"The extremely brief abstract provides insufficient detail to confidently assess any of the specified screening criteria, with no clear information about participant demographics, study design, cessation methods, or outcome measures. Critical methodological details are entirely absent, rendering a comprehensive evaluation impossible based on the limited text provided.",0.5
Smoking Cessation Study Burns Some Myths,Laurie Martin,-,-,-,0,2010,maybe,"The abstract does not specify the age of the participants, so it is unclear whether all study participants were 18 years or older.",maybe,"While the study involves smokers, the abstract does not specify the baseline smoking frequency (≥1 cigarette/day), so it is unclear whether the participants were regular cigarette smokers prior to cessation.",yes,"The abstract discusses ""stopping smoking"" and ""quitting,"" suggesting that the study examined complete cigarette smoking cessation rather than just reduction or switching to alternatives.",maybe,"While the abstract mentions psychological outcomes (depression, anxiety, sense of accomplishment), it does not specify whether validated scales or instruments were used to measure life satisfaction, quality of life, or wellbeing.",maybe,"The abstract only mentions ""a recent study"" without specifying the study design, so it is unclear whether the study design was a longitudinal study, cohort study, randomized controlled trial, or systematic review.",maybe,"The abstract mentions ""during the period of abstinence"" but does not specify the duration of the follow-up period, so it is unclear whether the study included a follow-up period of at least 3 months.",yes,"The abstract clearly indicates that the study included psychological measures (depression, anxiety, sense of accomplishment) beyond just physical health outcomes.",maybe,"The abstract appears to discuss smoking cessation in general terms without mentioning specific medical conditions or unique populations, suggesting that the study was conducted in a general population rather than focusing exclusively on specific medical conditions or unique populations.",Exclude,"The abstract suggests a study on smoking cessation with psychological outcomes, but lacks critical methodological details needed to confidently assess screening criteria. Multiple key requirements remain unclear, including participant age, study design, baseline smoking status, and follow-up duration, creating significant uncertainty about the study's alignment with screening standards.",1.7
Long term effect on mortality of stopping smoking after unstable angina and myocardial infarction.,"L. Daly, R. Mulcahy, I. Graham, N. Hickey",10.1136/bmj.287.6388.324,https://doi.org/10.1136/bmj.287.6388.324,British medical journal,173,1983,yes,"The study included adult participants aged under 60 years, which meets the criterion for an adult population.",maybe,"While the participants were smokers, the abstract did not specify the frequency of smoking (≥1 cigarette/day), so there is some uncertainty about whether this criterion was fully met.",yes,"The study explicitly examined participants who ""stopped smoking"" versus those who ""continued to smoke"", indicating that it looked at complete cigarette smoking cessation rather than just reduction or switching to alternatives.",no,"The abstract only mentioned mortality rates and did not indicate the use of validated scales or instruments to measure life satisfaction, quality of life, or wellbeing.",yes,"The study design was a longitudinal cohort study with a 13-year follow-up period, which meets the criterion for a longitudinal study, cohort study, randomized controlled trial, or systematic review.",yes,"The study had a 13-year follow-up period, which exceeds the minimum requirement of 3 months.",no,The study did not include any psychological or quality of life measures beyond just physical health outcomes.,no,"The study focused specifically on patients with myocardial infarction or unstable angina, which is a specific medical condition population rather than a general population.",Exclude,"The study focuses on a specific medical population with myocardial infarction, which disqualifies it from being a general population study. While demonstrating strong methodological elements like long-term follow-up and clear cessation outcomes, the research lacks psychological measures and validated quality of life instruments. The narrow clinical focus and absence of broader wellbeing assessments prevent the study from meeting key screening criteria.",0.5
[Influence of tobacco smoking on quality of life in patients with lung cancer].,"M. Underner, J. Perriot, F. Merson, G. Peiffer, J. Meurice",10.1016/j.rmr.2014.08.011,https://doi.org/10.1016/j.rmr.2014.08.011,Revue des maladies respiratoires,4,2015,maybe,"The abstract does not explicitly state the age of the participants, but given that the study focuses on lung cancer patients, it is likely that the participants were adults, though this cannot be confirmed without explicit confirmation.",maybe,"The abstract discusses smokers with lung cancer, but does not specify the frequency of smoking (≥1 cigarette/day). However, given the context, these are likely regular smokers.",yes,"The study examines complete smoking cessation, as evidenced by discussions of ""smoking cessation"" and ""quit smoking"" throughout the abstract.",maybe,"While quality of life is measured, the abstract does not specify whether validated scales or instruments were used.",maybe,"The study is described as a ""general review"" that analyzed twelve studies, but it is not explicitly stated whether this is a systematic review, which is a key requirement.",no,"The abstract does not mention any specific follow-up duration, making it impossible to confirm if it meets the 3-month requirement.",yes,The study explicitly focuses on quality of life measures beyond physical health outcomes.,no,"The study specifically focuses on patients with lung cancer, which is explicitly excluded by the criteria as a ""specific medical condition.""",Exclude,"The study focuses exclusively on lung cancer patients, which violates the general population screening criterion, and lacks explicit confirmation of several key methodological requirements. While the research examines smoking cessation and quality of life, critical details about participant age, study design, follow-up duration, and measurement validation are insufficiently addressed. The narrow focus on a specific medical condition and incomplete methodological information significantly reduce the study's alignment with the screening criteria.",0.5
