Title,Authors,DOI,DOI link,Venue,Citation count,Year,Population Age,"Reasoning for ""Population Age""",Activity Transition,"Reasoning for ""Activity Transition""",Population Activity Level,"Reasoning for ""Population Activity Level""",Intervention Type,"Reasoning for ""Intervention Type""",Intervention Duration,"Reasoning for ""Intervention Duration""",Intervention Frequency,"Reasoning for ""Intervention Frequency""",Outcome Measures,"Reasoning for ""Outcome Measures""",Study Design,"Reasoning for ""Study Design""",Screening judgement,"Reasoning for ""Screening judgement""",Screening score
Association between physical activity and sickness absenteeism in university workers.,"R. López‐Bueno, Lee Smith, L. L. Andersen, G. López-Sánchez, J. Casajús, J. Casajús",10.1093/occmed/kqz158,https://doi.org/10.1093/occmed/kqz158,Occupational Medicine,15,2019,yes,"The study included adults aged 18-65 years, which meets the criterion for population age.",no,"The study measured current activity levels but did not examine participants transitioning from sedentary to more active lifestyles, which fails to meet the criterion for activity transition.",yes,"The study examined university workers, which appears to be a general population sample, meeting the criterion for population activity level.",no,"This was not an intervention study, but rather an observational study examining associations between physical activity and absenteeism, which fails to meet the criterion for intervention type.",no,"No intervention was conducted, so this criterion is not applicable and fails.",no,"This was not an intervention study, but rather an observational study examining associations between existing physical activity levels and absenteeism, which fails to meet the criterion for intervention frequency.",no,"The study measured sickness absenteeism, not life satisfaction, wellbeing, or quality of life, which fails to meet the criterion for outcome measures.",no,"The study design was a cross-sectional study, not an interventional or longitudinal observational study, which fails to meet the criterion for study design.",Exclude,"This cross-sectional study of university workers fails to meet most screening criteria, particularly those related to intervention design, outcome measures, and activity transition. While the study includes an appropriate adult population and examines a general population sample, its observational nature and focus on absenteeism rather than life satisfaction or wellbeing disqualify it from meeting the core screening requirements.",0.1
Is the holistic physical factor linked to life satisfaction in older age?,"Boris Miha Kaučič, M. Ovsenik, Bojana Filej",10.13075/mp.5893.00806,https://doi.org/10.13075/mp.5893.00806,Medycyna Pracy,6,2019,yes,"The study focused on older persons aged ≥65 years, which meets the criterion of adult participants (≥18 years).",no,"The study did not measure baseline activity levels or examine transitions from sedentary to active lifestyles, as it only looked at current physical factors and their correlation with life satisfaction, and therefore does not meet this criterion.",maybe,"The population includes both institutionalized and community-dwelling older adults, which suggests a general population rather than elite athletes, but the activity level of participants is not explicitly described.",no,"No physical activity intervention is described in the study, as it examines physical factors (health literacy, health status, functional ability) but not as interventions, and therefore does not meet this criterion.",no,"No intervention is described in the study, so this criterion is not met.",no,"The study did not examine any intervention or behavior change, as it was an observational study looking at correlations between physical factors and life satisfaction, and therefore does not meet this criterion.",yes,"The study used the Satisfaction with Life Scale, which is a validated instrument for measuring life satisfaction, and therefore meets this criterion.",no,"The study design was a cross-sectional survey, which does not meet the criterion of being either interventional (RCT, quasi-experimental) or longitudinal observational.",Exclude,"This cross-sectional study of older adults fails to meet key screening criteria, particularly those related to intervention design, physical activity intervention, and sustained behavior change. While the research uses a validated life satisfaction instrument and includes adult participants, it lacks the required elements of an interventional or longitudinal study examining physical activity transitions. The observational nature of the research fundamentally disqualifies it from meeting the specified screening requirements.",0.5
Physical Activity and Life Satisfaction in Blind and Visually Impaired Individuals,"Jakub Łabudzki, T. Tasiemski",10.2478/HUMO-2013-0025,https://doi.org/10.2478/HUMO-2013-0025,-,31,2013,yes,"The mean age is 38 years, and the study focuses on adults, so this criterion is met.",no,The study does not examine participants transitioning from sedentary to active lifestyles. It only measures current activity levels and correlates them with life satisfaction.,yes,"The study examines individuals from the general population with varying degrees of vision loss, not elite athletes.",no,This is not an intervention study - it's an observational study examining physical activity levels.,no,"No intervention is described, so this criterion cannot be met.",no,This is not an intervention study - it's an observational study examining existing activity levels and their correlation with life satisfaction. No intervention is described.,yes,"The study used the Life Satisfaction Questionnaire, which is likely a validated instrument for measuring life satisfaction.",no,"The study design was a cross-sectional observational study, not an interventional or longitudinal design. This is a significant limitation as it only captures a single time point rather than examining changes over time.",Exclude,"The study fails to meet key screening criteria related to intervention design, behavior change, and activity transition, primarily because it is a cross-sectional observational study examining existing physical activity levels and life satisfaction. While the research includes appropriate population characteristics and uses validated outcome measures, it lacks the longitudinal and interventional elements required by the screening criteria. Consequently, the study does not align with the systematic review's core methodological requirements.",0.9
Speciality Grand Challenge: Existing and emerging issues for physical activity in the prevention and management of disease and the promotion of wellbeing,David Broom,10.3389/fspor.2025.1570340,https://doi.org/10.3389/fspor.2025.1570340,Frontiers in Sports and Active Living,0,2025,maybe,"The paper discusses various age groups including children, adults, and older adults, but does not describe a specific study population.",no,"While the paper discusses sedentary behavior and physical activity, it does not describe measuring baseline activity levels or studying transitions from sedentary to active lifestyles.",maybe,The paper discusses both sedentary and active populations conceptually but does not describe a specific study population.,no,"While physical activity interventions are discussed conceptually, this is not a study examining a specific physical activity intervention.",no,No specific intervention duration is mentioned in the paper.,no,The paper discusses physical activity and sedentary behavior broadly but does not examine specific sustained behavior change interventions.,no,"While the paper mentions quality of life and wellbeing conceptually, it does not describe measuring these outcomes using validated instruments in a specific study.",no,"The paper appears to be an editorial or perspective piece, not an interventional or longitudinal observational study. It does not describe a specific study design.",Exclude,"This editorial piece fails to meet the systematic review's screening criteria, as it is not a primary research study with an interventional or longitudinal design. The text discusses physical activity research conceptually but lacks specific study details such as intervention duration, outcome measures, and population characteristics. Consequently, the document does not qualify for inclusion in the systematic review.",0.1
The Association between Physical Activity and Quality of Life among University Students,"Tayyaba Niaz, Maryam Bilal, Minahil Jamil, Sarah Waqar, Hassan Javed, Hanan Azfar",10.61919/jhrr.v4i1.273,https://doi.org/10.61919/jhrr.v4i1.273,Journal of Health and Rehabilitation Research,1,2024,yes,"The study population was university students aged 18-30 years, meeting the adult age requirement.",no,"The study did not examine participants transitioning from a sedentary to more active lifestyle, but only measured current activity levels and their correlation with quality of life.",yes,"The study population appeared to be from the general student population, with 96.3% engaging in minimal physical activity, indicating they were predominantly sedentary.",no,"This was not an intervention study, so it did not examine a physical activity intervention.",no,"Since this was not an intervention study, there was no intervention duration to assess.",no,"This was not an intervention study, so there was no examination of sustained behavior change.",yes,"The study used the EQ-5D questionnaire, which is a validated instrument for measuring quality of life.",no,"The study design was a cross-sectional observational study, not an interventional or longitudinal study as required by the criterion.",Exclude,"This cross-sectional study of university students fails key screening criteria by not being an interventional or longitudinal design, lacking an intervention to examine sustained behavior change, and not measuring activity transitions. While the research uses validated instruments and focuses on an appropriate age group, its observational nature and absence of a physical activity intervention disqualify it from meeting the comprehensive screening requirements.",0.5
A time-lagged momentary assessment study on daily life physical activity and affect.,"M. Wichers, F. Peeters, B. Rutten, N. Jacobs, C. Derom, E. Thiery, P. Delespaul, J. van os",10.1037/a0025688,https://doi.org/10.1037/a0025688,Health Psychology,189,2012,yes,"The study uses female twins, and while age isn't explicitly stated, the context suggests adult participants.",no,The abstract does not mention measuring baseline activity levels or examining transitions from sedentary to active lifestyle.,yes,The study appears to use a general population sample (female twins) rather than elite athletes.,maybe,"The study examines physical activity, though it appears to be measuring natural daily activity rather than a structured intervention program.",no,The study appears to focus on acute effects of single physical activity sessions rather than an intervention duration of at least 4 weeks.,no,The study examines immediate effects of physical activity on affect (up to 180 minutes) rather than sustained behavior change.,no,"The study measures affective state (positive and negative affect) but does not explicitly measure life satisfaction, wellbeing, or quality of life using validated instruments.",maybe,"The study uses an experience sampling method with within-subject methodology and prospective measurements, which is observational but not clearly longitudinal in the traditional sense, as it focuses on immediate effects rather than sustained changes over time.",Exclude,"The study primarily examines acute effects of physical activity on affective state using an experience sampling method, which fails to meet key screening criteria related to sustained behavior change, intervention duration, and comprehensive wellbeing measurements. While the research involves adult female twins and explores physical activity, it does not align with the systematic review's requirements for long-term lifestyle interventions and validated quality of life assessments.",0.9
The Effect of Physical Activity Applied to Housewives on their Well-Being and Happiness Levels,"N. Malkoç, Serap Çolak, N. Malkoç, Yeliz Yol",10.61091/jpms202413521,https://doi.org/10.61091/jpms202413521,Journal of Pioneering Medical Science,0,2024,yes,"The mean age is 42.91±7.269 years, indicating all participants are adults.",maybe,"The abstract mentions these are women ""who started doing sports for the first time,"" suggesting a transition from sedentary to active lifestyle. However, baseline activity levels aren't explicitly measured.",yes,"The participants are described as housewives who started doing sports for the first time, suggesting they are from the general/sedentary population.",yes,"The study examines physical activity interventions including Pilates, Zumba, step aerobics, and walking programs.",yes,"The study lasted 12 weeks, which exceeds the minimum requirement of 4 weeks.",yes,"The intervention involves regular sessions (3 days of structured exercise + 3 days of walking per week) over 12 weeks, indicating sustained behavior change rather than acute effects.",yes,"The study uses the Well-Being Scale and Happiness Scale, which appear to be validated instruments measuring wellbeing and happiness.",maybe,"The study appears to be an interventional study with pre-post measurements, though it's not explicitly stated if it's randomized. There is some uncertainty about the exact study design.",Exclude,"A physical activity intervention study involving housewives demonstrates sustained behavioral change through regular exercise sessions, measuring wellbeing and happiness using validated instruments. The research meets key screening criteria including adult population, physical activity intervention, and sufficient intervention duration, with participants transitioning from a sedentary to more active lifestyle. While most criteria are clearly satisfied, some minor uncertainties exist regarding precise study design and explicit baseline activity level measurement.",4.1
"Well-being, physical activity and long-term conditions: cross-sectional analysis of Health Survey for England 2016.","C. Harvey, P. Ratcliffe, M. Gulliford",10.1016/j.puhe.2020.06.013,https://doi.org/10.1016/j.puhe.2020.06.013,Public Health,7,2020,yes,"The study included adults, with specific mention of age groups including 45-54 years.",no,"The study did not examine participants transitioning from sedentary to active lifestyles, but only looked at current activity levels and their association with wellbeing.",yes,"The study included participants from the general population, including both active and inactive individuals.",no,"This was not an intervention study, but rather an observational study examining physical activity levels.",no,"No intervention duration was specified, as this was not an intervention study.",no,"This was not an intervention study, but rather an observational study looking at associations between physical activity and wellbeing.",yes,"The study used the Warwick-Edinburgh mental well-being score (WEMWBS), which is a validated instrument for measuring wellbeing.",no,"The study design was a cross-sectional analysis, which does not meet the criterion for interventional or longitudinal observational design.",Exclude,"A cross-sectional study examining physical activity and wellbeing among adults with long-term conditions fails to meet key screening criteria, particularly those related to intervention design and sustained behavior change. While the research uses a validated wellbeing instrument and includes an appropriate population, it lacks the longitudinal or interventional approach required by the screening protocol. The observational nature of the study prevents it from satisfying critical methodological requirements.",0.5
Maintaining Healthy Behavior: a Prospective Study of Psychological Well-Being and Physical Activity,"Eric S. Kim, L. Kubzansky, J. Soo, Julia K. Boehm",10.1007/s12160-016-9856-y,https://doi.org/10.1007/s12160-016-9856-y,Annals of Behavioral Medicine,137,2017,yes,"The study focuses on adults over age 50, which meets the criterion for population age.",yes,"The study explicitly examines transitions from inactive to active states and maintenance of activity levels over time, which meets the criterion for activity transition.",yes,"The study includes both active and inactive individuals from the general population (nationally representative sample), which meets the criterion for population activity level.",no,"This is not an intervention study but rather an observational study examining natural patterns of physical activity, so it does not meet the criterion for intervention type.",no,"This is not an intervention study, so the 4-week duration criterion is not applicable, and the study does not meet this criterion.",no,"This is an observational study examining natural patterns of physical activity, not an intervention study examining sustained behavior change, so it does not meet the criterion for intervention frequency.",maybe,"While psychological well-being was measured, it was not explicitly stated whether validated instruments were used, so the reasoning is unclear or only partially meets the criterion.",yes,"The study design was a longitudinal observational study following participants over 11 years with multiple assessments (6 waves), which meets the criterion for an interventional or longitudinal observational study design.",Exclude,"This longitudinal observational study of older adults examines psychological well-being and physical activity patterns, but does not meet key screening criteria for an intervention study. While the research provides valuable insights into activity transitions and population-level physical activity, it lacks a structured intervention, specific validated outcome measures, and sustained behavior change components. The study's observational design fundamentally differs from the required intervention-focused screening criteria.",0.9
Volunteering and life satisfaction: a closer look at the hypothesis that volunteering more strongly benefits the unhappy,Martin Binder,10.1080/13504851.2014.985364,https://doi.org/10.1080/13504851.2014.985364,-,53,2015,maybe,"The abstract doesn't explicitly state the age range of participants, though BHPS typically includes adults. This creates some uncertainty.",no,The study does not examine physical activity transitions or baseline activity levels. It focuses on volunteering behavior.,maybe,"The study examines the general British population, which would meet this criterion, but it's not relevant given the intervention type mismatch.",no,"The study examines volunteering, not physical activity interventions. This is a clear failure of a critical criterion.",no,"While the study spans 12 years, it's not examining an intervention duration in the traditional sense, as it's an observational study of volunteering behavior.",no,"This study examines volunteering, not physical activity. It does look at sustained behavior (volunteering over time), but this is irrelevant as it's not the correct intervention type.",maybe,"The study measures life satisfaction and mental well-being, which aligns with the criterion of measuring life satisfaction, wellbeing, or quality of life. However, it's not explicitly stated whether validated instruments were used.",yes,"The study appears to be a longitudinal observational study using BHPS data from 1996 to 2008, which meets the criterion for an interventional or longitudinal observational study design.",Exclude,"The study focuses on volunteering's impact on life satisfaction, which fundamentally differs from the required physical activity intervention criteria. Critical screening requirements, particularly the intervention type, are not met, rendering the paper ineligible for inclusion in the review. The research examines volunteering behavior rather than physical activity, creating a core mismatch with the specified screening criteria.",0.1
Quality of Life and Subjective Well-Being of Physically Active Elderly People: A Systematic Review,"Lídia Nunes Nóra De Souza, Pedro Henrique Berbert de Carvalho, M. E. C. Ferreira",-,-,-,20,2018,yes,"The study focuses on ""older seniors"" (aged 80 and over), which meets the adult age criterion.",maybe,"The abstract does not mention measuring baseline activity levels or transitions from sedentary to active lifestyles. It only broadly discusses ""practice of physical exercises.""",yes,"The abstract suggests the population includes individuals who ""get to this stage without any being able to practice physical exercises,"" indicating they are likely sedentary, meeting this criterion.",yes,"The abstract mentions ""physical exercises"" and ""physical activity"" interventions, which meets this criterion.",maybe,No specific information about intervention duration is provided in the abstract.,maybe,"The abstract does not explicitly discuss whether the included studies examined sustained behavior change versus acute effects, so this information is unclear.",yes,"The study used validated instruments, including the SF-36 and 5-Item Satisfaction with Life Scale, to measure quality of life and wellbeing, which meets this criterion.",no,"The study design was a systematic review of 22 RCTs, not a primary interventional or longitudinal observational study. This is a critical failure as the screening criteria require primary research studies, not reviews.",Exclude,"This systematic review of physical exercise in older seniors fails to meet the primary study design requirement, rendering it ineligible despite addressing several screening criteria. While the study examines quality of life and wellbeing using validated instruments and focuses on an appropriate population, its review methodology fundamentally disqualifies it from meeting the core screening requirements.",0.5
EVEN MODERATE PHYSICAL FITNESS BOOSTS LIFE EXPECTANCY.,Thl,10.1056/JW198911140000001,https://doi.org/10.1056/JW198911140000001,-,0,1989,no,The abstract does not provide any information about the age of the study participants.,no,"The abstract mentions ""increased activity,"" but it does not indicate whether the study measured baseline activity levels or examined participants transitioning from a sedentary to more active lifestyle.",no,The abstract does not contain any information about the baseline activity level of the study population.,no,"While ""physical activity"" is mentioned, the abstract does not specify the type of intervention or whether it was an intervention study.",no,The intervention duration is not mentioned in the abstract.,no,The abstract does not contain any information about the intervention frequency or whether it examined sustained behavior change.,no,"While ""life expectancy"" is mentioned, the abstract does not provide information on whether validated instruments were used to measure life satisfaction, wellbeing, or quality of life.",no,"The abstract fragment does not indicate the study design, so it is not possible to determine if it was an interventional (RCT, quasi-experimental) or longitudinal observational study.",Exclude,"The incomplete abstract provides insufficient information to assess any of the screening criteria, with critical details about study design, intervention, population, and outcomes missing. Without a complete abstract, it is impossible to determine whether the study meets the required parameters for inclusion, rendering a comprehensive evaluation unfeasible.",0.5
"Physical Activity Levels, Correlates, and All-Cause Mortality Risk in People Living With Different Health Conditions.","Jenny M Marks-Vieveen, L. Uijtdewilligen, E. Motazedi, D. P. Stijnman, I. van den Akker-Scheek, Adrie J. Bouma, L. Buffart, Vincent de Groot, Ellen de Hollander, J. Jelsma, Johan de Jong, H. V. van Keeken, L. Krops, M. van der Leeden, S. Loer, Willem van Mechelen, F. van Nassau, J. Nauta, E. Verhagen, Wanda Wendel-Vos, Lucas H V van der Woude, J. Zwerver, R. Dekker, H. P. van der Ploeg",10.1123/jpah.2023-0387,https://doi.org/10.1123/jpah.2023-0387,Journal of Physical Activity and Health,1,2024,maybe,"While not explicitly stated, the Lifelines cohort study typically includes adults. However, without explicit confirmation, there is some uncertainty about whether all study participants were adults (aged 18 or older).",no,"The study examined physical activity levels but did not track transitions from sedentary to active lifestyles. It only looked at current activity levels, so it did not meet the criterion for measuring baseline activity levels and examining participants transitioning to a more active lifestyle.",yes,"The study examined the general population, including both people with and without health conditions, which meets the criterion for a population from the general or sedentary population (not exclusively elite athletes or highly active individuals).",no,"This was not an intervention study - it was an observational study examining physical activity patterns, so it did not meet the criterion for examining a physical activity intervention.",no,"No intervention was described, so the criterion for an intervention duration of at least 4 weeks was not met.",no,"This was not an intervention study - it was an observational study examining existing physical activity patterns, so it did not meet the criterion for examining sustained behavior change.",no,"The study did not explicitly measure life satisfaction, wellbeing, or quality of life. The main outcomes were physical activity levels and mortality, which do not meet the criterion for measuring these specific outcomes using validated instruments.",maybe,"The study design was an observational cohort study (Lifelines cohort study), which is longitudinal but appears to be primarily cross-sectional in its analysis of physical activity levels and mortality. This partially meets the criterion for an interventional or longitudinal observational study design.",Exclude,"This observational cohort study fails to meet multiple critical screening criteria, particularly around intervention design and outcome measurement. While examining physical activity patterns across different health conditions, the research does not constitute an intervention study, lacks measurement of life satisfaction or wellbeing, and does not track activity transitions. The study's observational nature and focus on mortality and physical activity levels diverge significantly from the systematic review's specific requirements.",0.5
Does primary care referral to an exercise programme increase physical activity one year later? A randomized controlled trial.,"R. Harrison, C. Roberts, P. Elton",10.1093/PUBMED/FDH197,https://doi.org/10.1093/PUBMED/FDH197,Journal of public health,128,2005,maybe,"The age range of the participants was not explicitly stated in the abstract, so it is unclear if all participants were adults (aged 18 or older).",yes,The study measured baseline activity levels and examined participants transitioning from a sedentary to more active lifestyle.,yes,"The participants were explicitly described as ""sedentary"" at baseline, meeting the criterion for a general or sedentary population.",yes,"The study examined a physical activity intervention through a ""local-authority exercise referral scheme.""",yes,"The intervention duration was 12 months, which exceeds the 4-week minimum requirement.",yes,"The study examined sustained behavior change over 12 months, not just acute effects of single exercise sessions.",no,"The study did not measure life satisfaction, wellbeing, or quality of life using validated instruments. It only measured physical activity levels and satisfaction with information.",yes,"The study design was an interventional randomized controlled trial, which meets the criterion for an interventional or longitudinal observational study design.",Exclude,"A randomized controlled trial examining physical activity interventions in sedentary primary care patients demonstrated sustained behavioral change over 12 months. While meeting most screening criteria, the study critically failed to measure life satisfaction, wellbeing, or quality of life using validated instruments. The intervention successfully tracked activity transitions but lacked comprehensive psychological outcome assessments.",0.9
Dose–Response Association between Physical Activity and Health-Related Quality of Life in General Population: A Population-Based Pooled Study,H. Alzahrani,10.3390/healthcare10081460,https://doi.org/10.3390/healthcare10081460,Healthcare,13,2022,maybe,"The study includes adults aged 16 and older, which partially meets the criterion (though it includes some participants under 18).",no,The study doesn't measure transitions from sedentary to active lifestyles. It only categorizes current activity levels.,yes,"The study examines the general population in Wales, including various activity levels from none to very high, which meets this criterion.",no,"This is not an intervention study, but rather an observational study examining physical activity levels.",no,"No intervention is present, so this criterion is not met.",no,"This is not an intervention study, so it doesn't examine sustained behavior change. It only looks at current activity levels and their association with HRQoL.",yes,"The study uses the SF-36, which is a validated instrument for measuring health-related quality of life (HRQoL). This clearly meets the criterion.",no,"The study appears to be a cross-sectional analysis of survey data, not an interventional or longitudinal observational study. This is a significant limitation as it doesn't examine changes over time or interventions.",Exclude,"A cross-sectional survey examining physical activity and quality of life in Wales fails to meet key screening criteria, particularly around intervention design and sustained behavior change. While the study uses validated instruments and includes a general population sample, its observational nature prevents meaningful assessment of activity transitions or intervention effectiveness. The research provides insights into physical activity levels but does not align with the specified screening requirements for intervention studies.",0.9
Life satisfaction and increased self-perceived attractiveness as psychological benefits of physical activity,"P. Barczak, H. Bednarek",10.52336/ACM.2020.9.6.02,https://doi.org/10.52336/ACM.2020.9.6.02,-,2,2020,yes,"The study mentions ""young adults,"" which meets the age criterion of 18+.",maybe,The abstract does not mention baseline activity levels or whether participants transitioned from sedentary to active lifestyles.,maybe,The abstract does not specify whether participants were from the general/sedentary population or were already active individuals.,yes,"The study clearly examined physical activity interventions (CrossFit and Latin Dance), meeting this criterion.",maybe,"No information is provided about the intervention duration, making it impossible to confirm if it met the 4-week minimum requirement.",maybe,"The abstract mentions ""training"" but does not specify the frequency or whether it examined sustained behavior change versus acute effects.",yes,"The study measured life satisfaction, which meets this criterion. However, it is unclear if validated instruments were used, though the measurement of specific aspects like ""life optimism"" and ""self-efficacy"" suggests some structure.",maybe,"The abstract does not explicitly state the study design, so it is unclear whether the study was interventional (RCT, quasi-experimental) or longitudinal observational. This creates significant uncertainty about the study design.",Exclude,"The study explores physical activity's impact on life satisfaction among young adults, examining CrossFit and Latin Dance interventions. While the research addresses some key screening criteria like population age and intervention type, significant uncertainties exist regarding study design, intervention duration, and baseline activity levels. Critical information gaps prevent definitive confirmation of the study's alignment with all screening requirements.",2.1
The association between retirement and age on physical activity in older adults.,"A. Godfrey, S. Lord, B. Galna, J. Mathers, D. Burn, L. Rochester",10.1093/ageing/aft168,https://doi.org/10.1093/ageing/aft168,Age and Ageing,57,2014,yes,"The study included older adults (mean age 69.1 ± 7.6 years), all of whom were clearly adults (18+). This meets the criterion for a population of adults aged 18 or older.",no,"While the study examined differences between retired and non-retired individuals, it did not specifically measure baseline activity levels and track transitions from sedentary to active lifestyles. This does not meet the criterion for measuring baseline activity levels and examining participants transitioning from a sedentary to more active lifestyle.",yes,"The study examined community-dwelling older adults from the general population, not elite athletes. This meets the criterion for a population from the general or sedentary population.",no,"This was not an intervention study, but rather an observational study of physical activity patterns. This does not meet the criterion for examining a physical activity intervention.",no,"No intervention was described, so this criterion was not met.",no,"This was not an intervention study, so it did not examine sustained behavior change. This does not meet the criterion for examining sustained behavior change.",no,"The study measured physical activity and sedentary behavior using an activPAL monitor, but did not measure life satisfaction, wellbeing, or quality of life using validated instruments. This does not meet the criterion for measuring life satisfaction, wellbeing, or quality of life.",no,"The study design was a cross-sectional study using accelerometer data, not an interventional or longitudinal observational study. This does not meet the criterion for an interventional or longitudinal observational study design.",Exclude,"This cross-sectional study of older adults fails to meet most screening criteria, particularly those related to intervention design, outcome measures, and sustained behavior change. While the research provides insights into physical activity patterns among retired and non-retired individuals, it does not align with the specific methodological requirements of the review. Only two criteria (population age and population activity level) were definitively satisfied.",0.5
Active Lives South Australia health economic analysis: an evidence base for the potential of health promotion strategies supporting physical activity guidelines to reduce public health costs while improving wellbeing,"S. Eckermann, A. Willan",10.1007/s10389-021-01649-0,https://doi.org/10.1007/s10389-021-01649-0,Journal of public health,5,2021,yes,"The study explicitly mentions ""adult populations,"" meeting this criterion.",no,"The study doesn't examine participants transitioning from sedentary to active lifestyles. Instead, it compares existing groups who already meet or don't meet guidelines.",yes,"The study examines the general population, comparing those who meet and don't meet PA guidelines, meeting this criterion.",no,"This is not an intervention study - it's an observational study examining existing physical activity levels, not implementing a physical activity intervention.",no,"No intervention is described, so this criterion is not met.",no,This is not an intervention study - it's an observational study comparing existing activity levels. It doesn't examine behavior change over time.,maybe,"The study measures ""subjective wellbeing"" but doesn't explicitly mention using validated instruments. While wellbeing is measured, it's not confirmed if validated tools were used.",maybe,"The study design is described as an observational study comparing populations who meet vs don't meet PA guidelines. While this is longitudinal in nature, it's not clearly stated if it's a true longitudinal study or a cross-sectional comparison, creating some uncertainty.",Exclude,"The study is an observational comparison of physical activity levels and wellbeing, which fails to meet key screening criteria related to intervention design, behavior change, and activity transitions. While examining adult populations and general activity levels, the research lacks the structured intervention approach and validated measurement tools required by the screening protocol. Consequently, the study does not align with the specified research parameters.",0.9
The effects of physical activity on life satisfaction : a study on Icelandic adolescents,Thelma Björg Magnúsdóttir,-,-,-,1,2017,no,"The study focused on tenth-grade students, who are likely under 18 years old, and therefore did not meet the requirement for an adult population.",no,"The study did not examine transitions from sedentary to active lifestyles, but only looked at correlations between current physical activity levels and life satisfaction.",yes,"The study examined a general school population, which would meet the requirement for a general or sedentary population, as it was not focused on elite athletes.",no,"This was not an intervention study, but rather an observational study examining physical activity levels, and therefore did not meet the requirement for examining a physical activity intervention.",no,"No intervention duration was specified, as this was not an intervention study.",no,"This was not an intervention study, but rather an observational study examining correlations between physical activity and life satisfaction, so it did not meet the requirement for examining sustained behavior change.",maybe,"The study measured life satisfaction, which is relevant, but the abstract did not specify whether validated instruments were used, though it mentioned using an ""existing international study"" (HBSC), which likely uses validated measures.",no,"The study design was a cross-sectional survey study using questionnaire data, which does not meet the requirement for an interventional or longitudinal observational study.",Exclude,"This cross-sectional study of adolescent students fails key screening criteria, including the requirement for an adult population and an interventional study design. The research examines correlations between physical activity and life satisfaction using survey data, but does not meet the specified methodological requirements for inclusion. Multiple critical screening criteria were not satisfied, rendering the study ineligible for further review.",0.1
A cross-sectional study of physical activity behaviour and associations with wellbeing during the UK coronavirus lockdown,"C. Wood, J. Barton, N. Smyth",10.1177/1359105321999710,https://doi.org/10.1177/1359105321999710,Journal of Health Psychology,15,2020,yes,"The study included UK adults, so this criterion was met.",no,"The study did not examine transitions from a sedentary to a more active lifestyle, but only measured current physical activity levels.",yes,"The study appears to have included the general population during lockdown, not exclusively elite athletes.",no,"This was not an intervention study, but rather an observational study examining current physical activity levels.",no,"No intervention was conducted, so this criterion is not applicable.",no,"This was not an intervention study, but rather an observational study examining current physical activity levels.",maybe,"The study measured wellbeing, depression, anxiety, and stress, but it is unclear if validated instruments were used.",no,"The study design was a cross-sectional study comparing groups based on physical activity importance perception, which is not an interventional or longitudinal observational study.",Exclude,"A cross-sectional study examining physical activity and wellbeing during lockdown fails to meet key screening criteria, particularly around intervention design and sustained behavior change. While the research involves UK adults and explores relevant outcomes, its observational nature and lack of intervention components disqualify it from meeting the specified screening requirements.",0.5
"The Scientific Foundation for the Physical Activity Guidelines for Americans, 2nd Edition.","K. Powell, A. King, D. Buchner, W. Campbell, L. DiPietro, K. Erickson, C. Hillman, J. Jakicic, K. Janz, P. Katzmarzyk, W. Kraus, R. Macko, D. Marquez, A. McTiernan, R. Pate, L. Pescatello, M. Whitt-Glover",10.1123/jpah.2018-0618,https://doi.org/10.1123/jpah.2018-0618,Journal of Physical Activity and Health,484,2019,no,"The abstract mentions benefits ""across the life span"" and includes both children and adults. This doesn't meet the criterion of focusing exclusively on adults 18+.",no,"While the paper mentions benefits for ""least active individuals,"" it doesn't specifically measure baseline activity levels or track transitions from sedentary to active lifestyles.",yes,"The paper appears to focus on the general US population, including sedentary individuals, so this criterion is met.",yes,"The paper does cover physical activity interventions broadly, so this criterion is partially met.",no,No specific intervention duration is mentioned in the abstract. This criterion cannot be confirmed.,no,"The paper discusses general physical activity benefits and interventions, but doesn't specifically examine sustained behavior change. It's a broad review rather than a study of specific interventions.",maybe,"While the paper discusses various outcomes including mental health and physical function, it's not clear if it specifically measured life satisfaction, wellbeing, or quality of life using validated instruments. The abstract is too general to confirm this criterion.",no,"This is a systematic review/committee report, not an interventional or longitudinal observational study. It analyzes existing evidence rather than conducting primary research.",Exclude,"This systematic review fails to meet key screening criteria, particularly lacking a primary research design and not focusing exclusively on adult populations. While covering broad physical activity benefits, the document does not provide the specific intervention details, measurement protocols, or population characteristics required by the screening criteria. Consequently, the paper would be excluded from the systematic review.",0.5
