Title,Authors,DOI,DOI link,Venue,Citation count,Year,Baseline Activity,"Reasoning for ""Baseline Activity""",Intervention Isolation,"Reasoning for ""Intervention Isolation""",Intervention Type,"Reasoning for ""Intervention Type""",Outcome Measurement,"Reasoning for ""Outcome Measurement""",Population Age,"Reasoning for ""Population Age""",Population Specificity,"Reasoning for ""Population Specificity""",Study Design,"Reasoning for ""Study Design""",Study Duration,"Reasoning for ""Study Duration""",Screening judgement,"Reasoning for ""Screening judgement""",Screening score
Non-vigorous physical activity and all-cause mortality: systematic review and meta-analysis of cohort studies.,"J. Woodcock, O. Franco, N. Orsini, Ian W. Roberts",10.1093/ije/dyq104,https://doi.org/10.1093/ije/dyq104,International Journal of Epidemiology,521,2011,maybe,"The abstract discusses comparing different levels of activity, including ""no activity"" as a baseline, suggesting some participants had low baseline activity levels. However, it doesn't specifically define baseline activity levels as less than 150 minutes per week.",maybe,"This is a meta-analysis of cohort studies examining physical activity's relationship with mortality. While physical activity is the focus, the studies included likely controlled for various confounders, but this isn't explicitly stated.",no,This is not an intervention study but rather an observational study examining the relationship between existing physical activity levels and mortality. It doesn't involve implementing an intervention to increase physical activity.,no,"The abstract does not mention life satisfaction as an outcome measure. Instead, it focuses on all-cause mortality, which is a clear failure of this critical criterion.",yes,"The study explicitly focuses on adult populations, meeting this criterion.",yes,"The study appears to focus on the general adult population, meeting this criterion. The abstract mentions ""adult populations"" and includes a large sample size from the general population.",no,"The paper is a systematic review and meta-analysis of cohort studies, not a primary RCT or prospective cohort study.",maybe,"As a meta-analysis of cohort studies, these typically follow participants for extended periods, but the specific duration isn't mentioned in the abstract.",Exclude,"The systematic review and meta-analysis fails to meet critical screening criteria, particularly the requirement for life satisfaction as an outcome measure and the need for a primary intervention study. Multiple key criteria are not satisfied, including the study design, intervention type, and outcome measurement, rendering the paper unsuitable for inclusion in the review.",0.1
"The Relationships between Physical Activity and Life Satisfaction and Happiness among Young, Middle-Aged, and Older Adults","Hsin-Yu An, Wei Chen, Cheng-Wei Wang, Hui-Fei Yang, Wan-Ting Huang, S. Fan",10.3390/ijerph17134817,https://doi.org/10.3390/ijerph17134817,International Journal of Environmental Research and Public Health,258,2020,maybe,"The study categorizes participants into high, moderate, and low activity levels, but does not specify the exact thresholds, so it cannot be confirmed if participants had baseline low physical activity levels.",no,"This appears to be an observational study examining relationships between existing physical activity levels and life satisfaction, rather than an intervention study, failing to meet this criterion.",no,"This is not an intervention study but rather an observational study examining existing activity levels, failing to meet this criterion.",maybe,"The abstract mentions measuring life satisfaction, but does not specify if validated assessment tools were used, creating uncertainty about whether this criterion is met.",yes,"The study includes ""young, middle-aged, and older adults,"" suggesting participants are 18+, meeting this criterion.",yes,"The study focuses on ""healthy adults"" and appears to be general population-based, meeting this criterion.",no,"The study appears to be a cross-sectional observational study, not a randomized controlled trial or prospective cohort study, failing to meet this criterion.",no,"The abstract does not mention any follow-up period, and this appears to be a cross-sectional study rather than a longitudinal one, failing to meet this criterion.",Exclude,"The study fails to meet key screening criteria due to its cross-sectional observational design, lacking an intervention and follow-up period. While examining life satisfaction across different age groups, the research does not isolate physical activity effects or demonstrate baseline activity levels, rendering it unsuitable for the specified screening requirements.",0.5
Exercise dose and quality of life: a randomized controlled trial.,"C. Martin, T. Church, A. Thompson, C. Earnest, S. Blair",10.1001/archinternmed.2008.545,https://doi.org/10.1001/archinternmed.2008.545,Archives of Internal Medicine,244,2009,maybe,"The abstract describes participants as ""sedentary,"" which implies low baseline physical activity levels, though the exact amount isn't specified.",yes,The study clearly isolates physical activity effects through a randomized controlled trial design with a non-exercise control group.,yes,The study clearly examines increased physical activity with measured baseline activity levels (sedentary) and specific energy expenditure targets.,maybe,"The study uses the Medical Outcomes Study 36-Item Short Form Health Survey, which is a validated assessment tool. However, it measures general QOL rather than specifically life satisfaction, so this is a partial match.",yes,"While not explicitly stated, postmenopausal women are by definition adults (18+).",no,"The study focuses on postmenopausal women with elevated systolic blood pressure, which is a specific demographic rather than the general population.",yes,The study is explicitly described as a randomized controlled trial.,yes,"The study has a 6-month duration, which exceeds the minimum 4-week requirement.",Include,"A randomized controlled trial examining physical activity's impact on quality of life among postmenopausal women demonstrates strong methodological rigor with a 6-month intervention period. While the study meets most screening criteria, it partially deviates from ideal specifications by focusing on a specific demographic and measuring general quality of life rather than life satisfaction. The research provides valuable insights into exercise's dose-dependent effects on mental and physical well-being.",3
Daily physical activity and life satisfaction across adulthood.,"Jaclyn P. Maher, A. Pincus, Nilam Ram, D. Conroy",10.1037/dev0000037,https://doi.org/10.1037/dev0000037,Developmental Psychology,137,2015,maybe,"The abstract doesn't specify baseline activity levels of participants, so it cannot be determined if participants had low physical activity levels at baseline.",no,"This is not an intervention study - it's an observational study examining associations between physical activity and life satisfaction, so the effects of physical activity cannot be isolated from other interventions.",no,"This is not an intervention study but rather an observational study examining associations, so it does not meet the criterion of examining an intervention involving increased physical activity with measured baseline activity levels.",maybe,"The abstract mentions measuring life satisfaction, but it is unclear whether validated assessment tools were used. The academic nature of the study suggests proper measurement tools were likely used, but there is some uncertainty.",yes,"The study includes adults aged 18-89 years, meeting the age criterion of 18 or older.",yes,"The study focuses on ""community-dwelling adults"" which indicates a general population sample rather than a clinical or elite athlete population.",yes,"This appears to be a prospective cohort study with daily diary measurements, which meets this criterion.",yes,"The study used ""three 21-day measurement bursts,"" which totals 63 days (approximately 9 weeks), meeting the minimum 4-week requirement.",Exclude,"The study involves a community-dwelling adult population aged 18-89, with a 63-day measurement period, but lacks key intervention characteristics required by the screening criteria. While meeting some population and duration requirements, the observational design fails to isolate physical activity effects or demonstrate baseline activity levels, rendering it non-compliant with several critical screening standards.",0.9
"The Acute Relationships Between Affect, Physical Feeling States, and Physical Activity in Daily Life: A Review of Current Evidence","Y. Liao, E. Shonkoff, G. Dunton",10.3389/fpsyg.2015.01975,https://doi.org/10.3389/fpsyg.2015.01975,Frontiers in Psychology,227,2015,maybe,The abstract does not mention baseline physical activity levels of participants. This information is not provided.,no,"This is a review paper examining relationships between physical activity and affective states, not an intervention study. The effects of physical activity are not being isolated as part of an intervention.",no,This is not an intervention study but rather a review of observational studies examining relationships between physical activity and affective states. It doesn't involve an intervention with measured baseline activity levels.,no,"The abstract focuses on affective and physical feeling states, not life satisfaction specifically. While these are related to well-being, they don't meet the specific requirement of measuring life satisfaction using validated tools.",maybe,"The abstract does not specify the age range of participants. While it mentions ""non-clinical populations,"" it doesn't confirm if participants are adults only.",yes,"The abstract explicitly mentions ""non-clinical populations"" and focuses on general populations in free-living settings, which meets this criterion.",no,"This is a systematic review, not a randomized controlled trial or prospective cohort study.",no,This paper examines acute relationships (within a few hours) rather than longer-term follow-up periods. It does not meet the minimum 4-week follow-up requirement.,Exclude,"The systematic review fails to meet multiple critical screening criteria, including the specific outcome measurement of life satisfaction, intervention isolation, and required study design. Key limitations include examining acute rather than long-term effects, focusing on a review of observational studies instead of an intervention, and not measuring life satisfaction using validated tools. The paper fundamentally differs from the systematic review's requirements, rendering it unsuitable for inclusion.",0.1
Get active? A meta-analysis of leisure-time physical activity and subjective well-being,"Christopher W. Wiese, Lauren Kuykendall, L. Tay",10.1080/17439760.2017.1374436,https://doi.org/10.1080/17439760.2017.1374436,-,208,2018,no,"The abstract doesn't mention baseline physical activity levels of participants, which is a significant missing piece of information.",maybe,"This is a systematic review of leisure time physical activity (LTPA) and its effects on well-being. While LTPA is the focus, the abstract doesn't specify how well effects were isolated from other interventions in the included studies.",maybe,"While the study examines physical activity, it's unclear if the included studies measured baseline activity levels or if they were intervention studies with measured changes in activity.",maybe,"The study measures life satisfaction as part of subjective well-being (SWB), but the abstract doesn't specify if validated assessment tools were used, creating uncertainty about whether this criterion is met.",yes,"The study focuses on ""working adults,"" which implies participants are 18 or older, so this criterion appears to be met.",yes,"The study focuses on ""working adults"" which appears to be a general population rather than a specific clinical population or elite athletes, so this criterion appears to be met.",no,"This is actually a systematic review rather than a primary RCT or prospective cohort study, which is a critical mismatch with the inclusion criteria.",no,The abstract doesn't mention study duration or follow-up periods of the included studies.,Exclude,"The systematic review focuses on working adults and leisure time physical activity, but lacks critical details about baseline activity levels, intervention isolation, and study duration. While examining life satisfaction and physical activity, the study design as a systematic review fundamentally conflicts with the specified screening criteria for primary research studies. Multiple key screening requirements remain unaddressed or unclear, preventing straightforward inclusion.",0.9
A daily analysis of physical activity and satisfaction with life in emerging adults.,"Jaclyn P. Maher, Shawna Doerksen, S. Elavsky, Amanda L. Hyde, A. Pincus, Nilam Ram, D. Conroy",10.1037/a0030129,https://doi.org/10.1037/a0030129,Health Psychology,144,2013,maybe,"The abstract does not specify baseline physical activity levels, so it cannot be determined if participants had low physical activity levels.",no,This is not an intervention study - it's an observational study examining natural variations in physical activity and its relationship with life satisfaction.,no,This is not an intervention study. It examines natural variations in physical activity rather than implementing an intervention to increase activity.,yes,"The study measures life satisfaction (SWL) as a primary outcome, which is a well-established measure in psychological research, even though the abstract does not explicitly mention the use of validated assessment tools.",yes,"The study focuses on emerging adults (18-25 years), meeting the adult age requirement.",yes,"The study focuses on emerging adults (college students), which is a general population subset rather than a clinical population or elite athletes.",no,"This is a daily diary study, not a randomized controlled trial or prospective cohort study.",no,"The studies were only 8 and 14 days long, which falls short of the required 4-week minimum follow-up period.",Exclude,"The study explores life satisfaction among emerging adults through daily diary research, but fails to meet key screening criteria including intervention design, study duration, and baseline activity measurement. While examining an appropriate population and relevant outcome, the research methodology does not align with the specified requirements for a comprehensive intervention study.",0.9
"Physical activity buffers the negative relationship between multimorbidity, self-rated health and life satisfaction","A. Marques, M. Peralta, É. Gouveia, Francisco Gómez Chávez, M. Valeiro",10.1093/pubmed/fdy012,https://doi.org/10.1093/pubmed/fdy012,Journal of public health,28,2018,maybe,"The abstract doesn't specify baseline activity levels of participants, so it cannot be determined if participants had low physical activity levels.",no,"This is a cross-sectional study examining relationships between variables, not an intervention study. Physical activity is measured as a variable rather than being manipulated as an intervention.",no,"This is not an intervention study. While physical activity is measured, it's not examining an intervention with measured baseline activity levels.",maybe,"The study measures life satisfaction, though there is some uncertainty about whether validated assessment tools were used.",yes,"The study includes adults aged 18-64 years, meeting the age criterion.",yes,"The study uses a general population sample from 18 European countries and Israel, not focusing on specific clinical populations or athletes.",no,"The study is cross-sectional, not a randomized controlled trial or prospective cohort study.",no,"As a cross-sectional study, there is no follow-up period, failing to meet the minimum 4-week follow-up requirement.",Exclude,"The cross-sectional study fails to meet multiple screening criteria, particularly those related to intervention design, study duration, and baseline activity measurement. While examining physical activity and life satisfaction in a general adult population, the research lacks the methodological requirements of a prospective intervention study with controlled activity levels. Critical design limitations prevent the study from satisfying the specified screening criteria.",0.5
Changes in Physical Activity Are Associated with Corresponding Changes in Psychological Well-Being: A Pandemic Case Study,"Micael Dahlen, Helge Thorbjørnsen, Hallgeir Sjåstad, Petra von Heideken Wågert, Charlotta Hellström, Birgitta Kerstis, D. Lindberg, J. Stier, M. Elvén",10.3390/ijerph182010680,https://doi.org/10.3390/ijerph182010680,International Journal of Environmental Research and Public Health,15,2021,maybe,"The abstract does not provide specific baseline activity levels or compare them to the 150-minute threshold, so this information is missing.",no,"This is not an intervention study - it's a correlational study examining natural changes in physical activity during COVID-19, so this criterion is not met.",no,"This is not an intervention study but rather an observational study of natural changes in physical activity, so this criterion is not met.",maybe,"The study measures life satisfaction, but the abstract does not specify if validated assessment tools were used, creating uncertainty about whether this criterion is met.",maybe,"The abstract does not explicitly state the age range of participants, so it cannot be confirmed if only adults were studied.",yes,"The study uses a ""representative sample in Sweden,"" suggesting it focuses on the general population rather than specific clinical populations or athletes, indicating this criterion is met.",no,"The abstract explicitly states it's a ""cross-sectional design, measuring self-reported change over time,"" which does not meet the requirement for either an RCT or prospective cohort study.",yes,"The study examines changes over ""the first year of the COVID-19 pandemic,"" which exceeds the 4-week minimum requirement, so this criterion is met.",Exclude,"The study fails to meet key screening criteria due to its cross-sectional design and lack of a structured intervention, with significant gaps in baseline activity measurement and participant age verification. While examining life satisfaction and physical activity changes during COVID-19, the research does not align with the required methodological standards for inclusion. Critical shortcomings include the absence of a controlled intervention and uncertainty about measurement tools and participant demographics.",0.9
Elevating Subjective Well-Being Through Physical Exercises: An Intervention Study,"Katarzyna Iwon, Julia Skibinska, Dorota Jasielska, Sonia Kalwarczyk",10.3389/fpsyg.2021.702678,https://doi.org/10.3389/fpsyg.2021.702678,Frontiers in Psychology,38,2021,maybe,"The study includes ""inactive people"" as one group, suggesting baseline low activity levels. However, the exact activity levels aren't specified in minutes per week, creating some uncertainty.",yes,"The study appears to isolate physical activity effects, comparing different activity levels without mention of other interventions.",yes,"The study examines changes in physical activity and measures baseline activity levels, comparing active people, beginners, and inactive people.",maybe,"The study measures life satisfaction, but there is some uncertainty about whether validated assessment tools were used, as the abstract does not explicitly state this. However, the formal measurement approach suggests standard tools were likely used.",maybe,"The abstract doesn't explicitly state the age range of participants. While it's likely these are adults given the context, this isn't confirmed.",yes,"The study appears to focus on the general population, with no mention of specific clinical populations or elite athletes. The sample includes both active and inactive people from the general population.",yes,"The study appears to be a prospective cohort study, following participants over time and measuring outcomes at baseline and 4 weeks.",yes,"The study meets this criterion clearly, with a 4-week follow-up period explicitly stated.",Include,"A prospective cohort study examining physical activity's impact on well-being among a general population sample, with a 4-week follow-up period and clear measurement of life satisfaction across different activity levels. While most screening criteria are met, some uncertainties exist regarding validated assessment tools, precise baseline activity levels, and participant age range. The study provides insights into how physical activity influences subjective well-being across different population segments.",4.1
Physical activity and mental health: evidence is growing,S. Biddle,10.1002/wps.20331,https://doi.org/10.1002/wps.20331,World Psychiatry,189,2016,no,"The abstract does not specify baseline physical activity levels of participants. While it mentions ""low fitness"" populations, it doesn't provide specific measurements or thresholds.",maybe,"The abstract discusses physical activity interventions but often in combination with other factors (e.g., ""usual general practitioner care""). It's unclear if physical activity effects can be isolated in all cases.",maybe,The abstract discusses various physical activity interventions but doesn't consistently mention measured baseline activity levels. It's unclear if all studies included this measurement.,no,"The abstract discusses various psychological outcomes including mood, self-esteem, cognitive functioning, depression, and quality of life, but does not specifically mention life satisfaction using validated assessment tools. This is a significant miss for a key criterion.",maybe,The abstract mentions adults aged 55-80 years in one study but doesn't consistently specify age ranges for all discussed populations. This creates uncertainty about whether all participants are adults.,maybe,"The abstract discusses both general population and specific clinical populations (depression, dementia). While it's not exclusively focused on clinical populations, it does include them, making it partially compliant with this criterion.",yes,"The abstract mentions both RCTs and prospective cohort studies, which meets this criterion. However, it also includes other study types and reviews.",maybe,"While the abstract mentions some longitudinal studies, it doesn't consistently specify follow-up periods. The TREAD trial is mentioned but its duration isn't specified.",Exclude,"The abstract discusses physical activity and mental health across various populations and study designs, but fails to meet several critical screening criteria, particularly around life satisfaction measurement and baseline activity levels. While touching on relevant psychological outcomes and intervention types, the text lacks specificity in key areas such as population age, study duration, and intervention isolation. The overview appears more suited as a review than a primary research study meeting the defined screening requirements.",1.3
Physical activity and life expectancy: a life-table analysis,"L. Veerman, J. Tarp, Ruth Wijaya, M. Wanjau, Holger Möller, Fiona Haigh, Peta Lucas, Andrew Milat",10.1136/bjsports-2024-108125,https://doi.org/10.1136/bjsports-2024-108125,British Journal of Sports Medicine,4,2024,maybe,"While the study includes participants with varying activity levels, it's not specifically focused on those with low baseline activity. The analysis includes all activity levels, not just those below 150 minutes/week.",no,"This is not an intervention study. It's a predictive modeling study using existing physical activity data to estimate potential life expectancy gains, rather than isolating the effects of a physical activity intervention.",no,"The study does not examine an intervention. It's a modeling study that estimates potential benefits of increased activity, not an actual intervention study.",no,"The study does not measure life satisfaction, which is the required outcome. Instead, it focuses on life expectancy and mortality, which are different outcomes.",yes,"The study includes adults aged 40+, meeting the requirement for an adult population.",yes,"The study examines the general US population aged 40+ using NHANES data, which meets the requirement for a general population focus.",no,"This is neither a randomized controlled trial nor a prospective cohort study. It's a predictive modeling study using existing data, rather than one of the required study designs.",no,"This is not an intervention study with a follow-up period. It's a cross-sectional analysis using existing data, rather than a study with a minimum 4-week follow-up.",Exclude,"The study fails to meet critical screening criteria, particularly the requirement for measuring life satisfaction and conducting an intervention study. While examining physical activity's impact on life expectancy among adults, the research does not align with the systematic review's specific methodological and outcome requirements. Multiple key criteria were not satisfied, rendering the study ineligible for inclusion.",0.1
"Are Total, Intensity- and Domain-Specific Physical Activity Levels Associated with Life Satisfaction among University Students?","Ž. Pedišić, Zrinka Greblo, P. Phongsavan, K. Milton, A. Bauman",10.1371/journal.pone.0118137,https://doi.org/10.1371/journal.pone.0118137,PLoS ONE,52,2015,maybe,"The abstract doesn't specify baseline activity levels. While it measures physical activity, we don't know if participants had low baseline activity levels.",no,"This is a cross-sectional study examining relationships between physical activity and life satisfaction, not an intervention study. Physical activity is measured but not manipulated.",no,This is not an intervention study. It examines relationships between existing physical activity levels and life satisfaction rather than implementing an intervention to increase physical activity.,yes,"The study uses the Satisfaction with Life Scale, which is a validated assessment tool for measuring life satisfaction.",yes,"The study includes university students with a mean age of 21.5 ± 1.8 years, meeting the adult population criterion.",yes,"The study focuses on university students, which is a general population subset rather than a clinical population or elite athletes.",no,"The study is cross-sectional, not a randomized controlled trial or prospective cohort study.",no,"This is a cross-sectional study, not a longitudinal study with a follow-up period.",Exclude,"The study fails to meet key screening criteria due to its cross-sectional design, which prevents isolation of physical activity intervention effects and lacks a longitudinal follow-up period. While the research uses validated measurement tools and focuses on a general adult population, it does not constitute an intervention study and cannot demonstrate causal relationships between physical activity and life satisfaction. The methodological limitations significantly reduce its alignment with the specified screening requirements.",0.5
Regular Physical Activity and Life Satisfaction: Unpacking the Roles of Self-Control and Emotion Regulation,"Wiktor Potoczny, R. Herzog-Krzywoszańska, Łukasz Krzywoszański",10.3390/app15041878,https://doi.org/10.3390/app15041878,Applied Sciences,1,2025,maybe,"While the study classifies participants into four levels of physical activity based on WHO guidelines, it doesn't specify if participants had low baseline activity levels.",no,This is a cross-sectional survey study examining correlations between physical activity and life satisfaction. It does not isolate the effects of physical activity through an intervention.,no,This is not an intervention study. It measures existing physical activity levels rather than implementing an intervention to increase activity.,yes,"The study uses the Satisfaction with Life Scale, which is a validated assessment tool for measuring life satisfaction.",yes,"The study explicitly states it includes adults, though specific age ranges are not provided.",yes,"The study appears to focus on the general adult population, with no mention of specific clinical populations or elite athletes.",no,"This is a cross-sectional survey study, not a randomized controlled trial or prospective cohort study.",no,This is a cross-sectional study with no follow-up period mentioned.,Exclude,"The study fails to meet key screening criteria due to its cross-sectional design, lack of intervention, and absence of a follow-up period. While the research uses validated measurement tools and focuses on the general adult population, it does not isolate physical activity effects or implement an intervention to increase activity levels. Consequently, the study does not align with the required methodological standards for inclusion.",0.5
211 From Motion by Emotion to Well-Being: How Regular Physical Activity Enhances Life Satisfaction through Self–Control and Emotion Regulation,"Wiktor Potoczny, Lukasz Krzywoszanski, R. Herzog-Krzywoszańska",10.1093/eurpub/ckae114.070,https://doi.org/10.1093/eurpub/ckae114.070,European Journal of Public Health,0,2024,maybe,"The abstract mentions classifying participants into four levels of physical activity based on WHO guidelines, but it's unclear if participants had low baseline activity levels.",yes,"The study examines physical activity in isolation, looking at its relationship with life satisfaction through specific mediators (self-control and emotion regulation).",no,This appears to be a cross-sectional study examining relationships between existing physical activity levels rather than an intervention study with measured baseline activity levels.,maybe,"The study measures life satisfaction, but there is some uncertainty about whether validated assessment tools were used.",yes,"The study explicitly mentions ""186 adults"" as participants.",yes,"The study appears to focus on the general population of adults, with no mention of specific clinical populations or elite athletes.",no,The study appears to be a cross-sectional survey study rather than an RCT or prospective cohort study.,maybe,"The abstract mentions ""average minutes spent exercising per week over the past year,"" but this appears to be retrospective reporting rather than a prospective follow-up period.",Exclude,"The study explores physical activity's relationship with life satisfaction among adults, but fails to meet key methodological screening criteria, particularly regarding study design and intervention type. While examining relevant population and outcomes, the cross-sectional survey approach does not align with the required randomized controlled trial or prospective cohort study design. Uncertainties remain about baseline activity levels and intervention specifics.",0.9
Physical activity behaviors and perceived life satisfaction among public high school adolescents.,"R. Valois, K. Zullig, E. Huebner, J. Drane",10.1111/J.1746-1561.2004.TB04201.X,https://doi.org/10.1111/J.1746-1561.2004.TB04201.X,Journal of School Health,280,2004,maybe,"The abstract mentions various physical activity measures but doesn't specify baseline activity levels, so it cannot be determined if participants meet the <150 minutes/week criterion.",no,"This is a cross-sectional survey study examining relationships between existing physical activity behaviors and life satisfaction, and does not isolate effects of a specific intervention.",no,The study examines existing physical activity behaviors rather than an intervention to increase physical activity.,yes,"The study uses the Brief Multidimensional Student Life Satisfaction Scale (BMSLSS), which is a validated assessment tool for measuring life satisfaction.",no,"The study explicitly focuses on adolescents, not adults (18+), which is a clear violation of the age criterion.",no,"The study focuses exclusively on adolescents, not the general population, which is a clear violation of the criterion requiring general population focus.",no,"This is a cross-sectional survey study, not a randomized controlled trial or prospective cohort study.",no,"This appears to be a cross-sectional study using survey data, not a longitudinal study with a follow-up period.",Exclude,"The study focuses on adolescents using a cross-sectional survey design, which fundamentally conflicts with the required adult population and longitudinal intervention criteria. Multiple screening requirements are unmet, including population age, study design, and intervention type, rendering the paper ineligible for systematic review inclusion. The research examines existing physical activity behaviors and life satisfaction relationships, but lacks the methodological and population specifications necessary for the review.",0.1
Interventions for promoting physical activity.,"M. Hillsdon, C. Foster, M. Thorogood",10.1002/14651858.cd003180,https://doi.org/10.1002/14651858.cd003180,Cochrane Database of Systematic Reviews,713,2005,maybe,"The study mentions ""sedentary adults"", suggesting low baseline activity levels, but the specific activity levels (150 minutes) are not mentioned, so there is some uncertainty around whether this criterion is fully met.",maybe,"The studies appear to focus specifically on physical activity interventions, and there is no mention of confounding interventions, indicating that the effects of physical activity can be isolated.",yes,"The study clearly examines physical activity interventions and mentions baseline activity levels, indicating that it meets this criterion.",no,"The abstract does not mention life satisfaction as an outcome measure, and only measures physical activity and cardio-respiratory fitness. This indicates that the study does not meet the criterion of measuring life satisfaction using validated assessment tools.",maybe,"The study includes adults ""aged 16 years and older"", which does not strictly meet the criterion of including only adult participants (aged 18 or older).",yes,"The study focuses on ""sedentary adults not living in an institution"", which suggests it examines the general population rather than specific clinical populations or elite athletes.",yes,"The study specifically includes ""randomised, controlled, trials"", which meets the criterion of being either a randomized controlled trial or a prospective cohort study.",yes,"The study requires a ""minimum of six months follow up"", which exceeds the minimum requirement of 4 weeks.",Exclude,"The systematic review focuses on physical activity interventions for sedentary adults, but critically fails to measure life satisfaction as a primary outcome. While meeting several methodological criteria like randomized controlled trial design and appropriate study duration, the absence of life satisfaction measurement and inclusion of participants under 18 years old render the study non-compliant with key screening requirements.",0.5
"Social relations, physical activity, and well-being in older adults.","E. McAuley, B. Blissmer, D. Marquez, G. Jerome, A. Kramer, J. Katula",10.1006/PMED.2000.0740,https://doi.org/10.1006/PMED.2000.0740,Preventive Medicine,489,2000,yes,"Participants are described as ""formerly sedentary,"" suggesting they meet the baseline low physical activity requirement.",yes,"The study compares two physical activity modes (aerobic vs. stretching/toning) in isolation, with clear intervention groups.",yes,The study examines increased physical activity interventions with clear baseline activity levels (sedentary).,maybe,"The study measures life satisfaction as part of subjective well-being (SWB), though the abstract doesn't explicitly state if validated assessment tools were used, creating some uncertainty.",yes,"The mean age is 65.5 years, clearly meeting the adult population criterion.",yes,"The study focuses on ""formerly sedentary adults"" which appears to be a general population sample, not a clinical population or elite athletes.",yes,The abstract explicitly states this is a randomized controlled trial.,yes,"The study has a 12-month intervention period with 6-month follow-up, well exceeding the 4-week minimum requirement.",Include,"A randomized controlled trial examining physical activity's impact on life satisfaction among older adults demonstrates strong alignment with most screening criteria, including appropriate population age, study duration, and intervention type. The study focuses on formerly sedentary adults, compares different physical activity modes, and measures subjective well-being over a 12-month period, with only minor uncertainty regarding the validation of assessment tools.",4.5
Long-term association between leisure-time physical activity and changes in happiness: analysis of the Prospective National Population Health Survey.,"Feng Wang, H. Orpana, H. Morrison, M. de Groh, S. Dai, W. Luo",10.1093/aje/kws199,https://doi.org/10.1093/aje/kws199,American Journal of Epidemiology,115,2012,maybe,"The abstract does not specify the baseline activity levels of participants or the threshold used to classify them as ""active"" or ""inactive."" This information is missing.",maybe,"This is an observational study examining leisure-time physical activity (LTPA) in relation to happiness. While other factors were controlled for, it's not a true intervention study, creating some uncertainty about meeting this criterion.",no,"This is not an intervention study but rather an observational study examining natural changes in physical activity. While it measures baseline activity levels, it doesn't involve an intervention to increase physical activity. This criterion is not met.",maybe,"The study measures ""happiness"" rather than specifically ""life satisfaction,"" which are distinct constructs. The abstract does not mention which validated assessment tools were used, creating uncertainty about whether this criterion is met.",maybe,"The abstract does not explicitly state the age range of participants. While it's likely these are adults given it's a national population survey, we cannot be certain without more information.",yes,"The study uses data from the National Population Health Survey, suggesting a general population focus rather than a specific clinical population or elite athletes. This criterion appears to be met.",yes,"This appears to be a prospective cohort study using national survey data, which meets this criterion.",yes,"The study follows participants for 2 and 4 years, which clearly exceeds the minimum 4-week requirement. This criterion is met.",Exclude,"A national population survey examining leisure-time physical activity and happiness reveals complex relationships between activity levels and mood status over time. While the study provides insights into population-level physical activity patterns, it lacks clear intervention design and specific life satisfaction measurement tools. The research offers observational data on activity and happiness but does not fully meet all predefined screening criteria.",2.1
Effects of physical activity on life expectancy with cardiovascular disease.,"O. Franco, Chris de Laet, A. Peeters, J. Jonker, J. Mackenbach, W. Nusselder",10.1001/ARCHINTE.165.20.2355,https://doi.org/10.1001/ARCHINTE.165.20.2355,Archives of Internal Medicine,453,2005,maybe,"The study categorizes participants into low, moderate, and high physical activity levels, but doesn't specify the exact baseline activity levels, so it cannot be confirmed if participants had less than 150 minutes of moderate activity per week.",no,"The study examines physical activity levels and their effects, but this is an observational study looking at different activity levels rather than an intervention study, so this criterion is not met.",no,"This is not an intervention study but rather an observational study examining different activity levels, so this criterion is not met.",no,"The study does not measure life satisfaction, which is a critical failure for this criterion. Instead, it measures life expectancy and cardiovascular disease outcomes.",yes,"The study focuses on populations older than 50 years, which meets the adult age requirement.",yes,"The study appears to use data from the Framingham Heart Study, which is a general population cohort study, meeting this criterion.",yes,"This appears to be a prospective cohort study using Framingham Heart Study data, which meets this criterion.",maybe,"While the study appears to be longitudinal (using life tables), the exact follow-up period is not specified in the abstract.",Exclude,"The study fundamentally fails to meet key screening criteria, particularly the requirement to measure life satisfaction, instead focusing on life expectancy and cardiovascular disease outcomes. While the research uses a general population cohort and includes adult participants, it lacks an intervention design and does not isolate physical activity effects in the manner specified by the screening criteria. Critical methodological misalignments render the study unsuitable for the intended review.",0.5
Habitual Physical Activity and Quality of Life,R. Shephard,10.1080/00336297.1996.10484202,https://doi.org/10.1080/00336297.1996.10484202,-,40,1996,maybe,The abstract does not provide information about participants' baseline physical activity levels.,yes,"The abstract discusses physical activity in isolation from other interventions, comparing it to smoking cessation.",no,"While physical activity is discussed, the abstract appears to be a theoretical or review paper rather than an intervention study with measured baseline activity levels.",no,"The abstract does not mention measuring life satisfaction using validated assessment tools. It discusses longevity and life expectancy measures, but not life satisfaction specifically.",yes,"The abstract mentions ""young adults"" which suggests participants are 18 or older.",yes,"The abstract appears to discuss the general population, particularly young adults, without focusing on specific clinical populations or elite athletes.",no,The abstract does not describe a specific study design. It appears to be a theoretical paper or review discussing various concepts rather than presenting original research.,maybe,The abstract does not mention any specific study duration or follow-up period.,Exclude,"The abstract fails to meet key screening criteria, particularly lacking validated life satisfaction measurement and a clear intervention study design. While discussing physical activity and life expectancy, the text appears to be a theoretical review rather than an original research study with measurable outcomes. Multiple critical screening requirements remain unaddressed, rendering the abstract unsuitable for inclusion.",0.5
